reg_no,batchcode,lateral,course_ap1,course_ap2,course_ap3,n_reg_no_1,course_ad1,batch_no_1,n_reg_no_2,course_ad2,batch_no_2,n_reg_no_3,course_ad3,batch_no_3,Session,ses_half,already_dip,Centre,USER
YS-N24/68-6800082/2022,23,L,ADFAS,,,YS-N24/70-6800082/2022,ADFAS,33001,,,,,,,70,A,,N24,cic
YS-N24/68-6800126/2022,23,L,ADFAS,,,YS-N24/70-6800126/2022,ADFAS,33001,,,,,,,70,A,,N24,cic
YS-N24/68-6800083/2022,23,L,ADFAS,,,YS-N24/70-6800083/2022,ADFAS,33001,,,,,,,70,A,,N24,cic
YS-N24/68-6800055/2022,25,L,CFAS(LAT),,,YS-N24/75-7500116/2023,CFAS(LAT),23051,,,,,,,70,A,,N24,saheli
YS-N24/68-6800139/2022,22,L,CFAS(LAT),,,YS-N24/71-7100119/2022,CFAS(LAT),23051,,,,,,,70,A,,N24,PROMITA
YS-N24/68-6800026/2022,22,L,CFAS(LAT),,,YS-N24/71-7100118/2022,CFAS(LAT),23051,,,,,,,70,A,,N24,deba
YS-N24/68-6800153/2022,22,L,CFAS(LAT),,,YS-N24/71-7100120/2022,CFAS(LAT),23051,,,,,,,70,A,,N24,PROMITA
YS-N24/68-6800007/2022,25,L,ADITA,,,YS-N24/70-6800007/2022,ADITA,35001,,,,,,,70,A,,N24,saheli
YS-N24/68-6800028/2022,25,L,ADITA,,,YS-N24/70-6800028/2022,ADITA,35002,,,,,,,70,A,,N24,saheli
YS-N24/68-6800081/2022,25,L,CFAS(LAT),,,YS-N24/74-7400144/2023,CFAS(LAT),23001,,,,,,,70,A,,N24,cic
YS-N24/68-6800119/2022,35,L,ADITA,,,YS-N24/70-6800119/2022,ADITA,45001,,,,,,,70,A,,N24,RAKHI DAS
YS-N24/68-6600060/2022,35,L,ADITA,,,YS-N24/70-6600060/2022,ADITA,45001,,,,,,,70,A,,N24,RAKHI DAS
YS-N24/68-6600012/2022,35,L,ADITA,,,YS-N24/70-6600012/2022,ADITA,45001,,,,,,,70,A,,N24,RAKHI DAS
YS-N24/68-6600017/2022,35,L,ADITA,,,YS-N24/70-6600017/2022,ADITA,45001,,,,,,,70,A,,N24,RAKHI DAS
YS-N24/68-6600069/2022,35,L,ADITA,,,YS-N24/70-6600069/2022,ADITA,45001,,,,,,,70,A,,N24,RAKHI DAS
YS-N24/68-6600011/2022,35,L,ADITA,,,YS-N24/70-6600011/2022,ADITA,45001,,,,,,,70,A,,N24,RAKHI DAS
YS-N24/68-6600015/2022,35,L,ADITA,,,YS-N24/70-6600015/2022,ADITA,45001,,,,,,,70,A,,N24,RAKHI DAS
YS-N24/68-6800166/2022,25,L,ADITA,,,YS-N24/70-6800166/2022,ADITA,35004,,,,,,,70,A,,N24,RAKHI DAS
YS-N24/68-6800022/2022,25,L,ADITA,,,YS-N24/70-6800022/2022,ADITA,35001,,,,,,,70,A,,N24,cic
YS-N24/68-6800037/2022,25,L,ADITA,,,YS-N24/70-6800037/2022,ADITA,35001,,,,,,,70,A,,N24,cic
YS-N24/68-6800018/2022,25,L,ADITA,,,YS-N24/70-6800018/2022,ADITA,35001,,,,,,,70,A,,N24,cic
YS-N24/68-6800019/2022,25,L,ADITA,,,YS-N24/70-6800019/2022,ADITA,35001,,,,,,,70,A,,N24,cic
YS-N24/68-6800003/2022,25,L,ADITA,,,YS-N24/70-6800003/2022,ADITA,35001,,,,,,,70,A,,N24,cic
YS-N24/68-6800167/2022,25,L,ADITA,,,YS-N24/70-6800167/2022,ADITA,35003,,,,,,,70,A,,N24,saheli
YS-N24/68-6800134/2022,25,L,ADITA,,,YS-N24/70-6800134/2022,ADITA,35003,,,,,,,70,A,,N24,saheli
YS-N24/68-6800133/2022,25,L,ADITA,,,YS-N24/70-6800133/2022,ADITA,35003,,,,,,,70,A,,N24,saheli
YS-N24/68-6800164/2022,25,L,ADITA,,,YS-N24/70-6800164/2022,ADITA,35003,,,,,,,70,A,,N24,saheli
YS-N24/68-6800131/2022,25,L,ADITA,,,YS-N24/70-6800131/2022,ADITA,35003,,,,,,,70,A,,N24,saheli
YS-N24/68-6800186/2022,25,L,ADITA,,,YS-N24/70-6800186/2022,ADITA,35003,,,,,,,70,A,,N24,saheli
YS-N24/68-6800097/2022,25,L,ADITA,,,YS-N24/70-6800097/2022,ADITA,35003,,,,,,,70,A,,N24,saheli
