reg_no,batchcode,lateral,course_ap1,course_ap2,course_ap3,n_reg_no_1,course_ad1,batch_no_1,n_reg_no_2,course_ad2,batch_no_2,n_reg_no_3,course_ad3,batch_no_3,Session,ses_half,already_dip,Centre,USER
YS-N24/69-6700079/2022,35,,ADITA,,,YS-N24/71-6700079/2022,ADITA,45051,,,,,,,,A,Y,,RAKHI DAS
YS-N24/69-6700171/2022,35,,ADITA,,,YS-N24/71-6700171/2022,ADITA,45051,,,,,,,,A,Y,,saheli
YS-N24/69-6700047/2022,33,,ADFAS,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6700201/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6700187/2022,35,,ADITA,,,YS-N24/71-6700187/2022,ADITA,45051,,,,,,,,A,Y,,saheli
YS-N24/69-6700063/2022,35,,ADITA,,,YS-N24/71-6700063/2022,ADITA,45051,,,,,,,,A,Y,,RAKHI DAS
YS-N24/69-6700073/2022,33,,ADFAS,,,YS-N24/71-6700073/2022,ADFAS,43051,,,,,,,,A,Y,,saheli
YS-N24/69-6700074/2022,33,,ADFAS,,,YS-N24/71-6700074/2022,ADFAS,43051,,,,,,,,A,Y,,saheli
YS-N24/69-6700183/2022,33,,ADFAS,,,YS-N24/71-6700183/2022,ADFAS,43051,,,,,,,,A,Y,,saheli
YS-N24/69-6700062/2022,35,,ADITA,,,YS-N24/71-6700062/2022,ADITA,45051,,,,,,,,A,Y,,RAKHI DAS
YS-N24/69-6700152/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6700143/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6700029/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6700078/2022,35,,ADITA,,,YS-N24/71-6700078/2022,ADITA,45051,,,,,,,,A,Y,,deba
YS-N24/69-6700167/2022,35,,ADITA,,,YS-N24/71-6700167/2022,ADITA,45051,,,,,,,,A,Y,,saheli
YS-N24/69-6700071/2022,35,,ADITA,,,YS-N24/71-6700071/2022,ADITA,45051,,,,,,,,A,Y,,RAKHI DAS
YS-N24/69-6700103/2022,35,,ADITA,,,YS-N24/71-6700103/2022,ADITA,45051,,,,,,,,A,Y,,saheli
YS-N24/69-6700194/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6700072/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6700055/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6700068/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6700174/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6700193/2022,33,,ADFAS,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6700192/2022,33,,ADFAS,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6700080/2022,35,,ADITA,,,YS-N24/71-6700080/2022,ADITA,45051,,,,,,,,A,Y,,saheli
YS-N24/69-6700075/2022,35,,ADITA,,,YS-N24/71-6700075/2022,ADITA,45051,,,,,,,,A,Y,,saheli
YS-N24/69-6700168/2022,33,,ADFAS,,,YS-N24/71-6700168/2022,ADFAS,43051,,,,,,,,A,Y,,saheli
YS-N24/69-6700076/2022,33,,ADFAS,,,YS-N24/71-6700076/2022,ADFAS,43051,,,,,,,,A,Y,,saheli
YS-N24/69-6700166/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6700016/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6700132/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6700131/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6700138/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6700133/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6700069/2022,35,,ADITA,,,YS-N24/71-6700069/2022,ADITA,45051,,,,,,,,A,Y,,RAKHI DAS
YS-N24/69-6700085/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6700059/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6700057/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6500095/2022,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/69-6500096/2022,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/69-6700100/2022,33,,ADFAS,,,YS-N24/71-6700100/2022,ADFAS,43051,,,,,,,,A,Y,,saheli
YS-N24/69-6700113/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6700178/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6700099/2022,33,,ADFAS,,,YS-N24/71-6700099/2022,ADFAS,43051,,,,,,,,A,Y,,cic
YS-N24/69-6500045/2022,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/69-6700142/2022,35,,ADITA,,,YS-N24/71-6700142/2022,ADITA,45051,,,,,,,,A,Y,,saheli
YS-N24/69-6700186/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6700097/2022,35,,ADITA,,,YS-N24/71-6700097/2022,ADITA,45051,,,,,,,,A,Y,,PROMITA
YS-N24/69-6700056/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6700200/2022,33,,ADFAS,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6500044/2022,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/69-6500011/2022,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/69-6500032/2022,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/69-6700145/2022,35,,ADITA,,,YS-N24/71-6700145/2022,ADITA,45051,,,,,,,,A,Y,,PROMITA
YS-N24/69-6700146/2022,35,,ADITA,,,YS-N24/71-6700146/2022,ADITA,45051,,,,,,,,A,Y,,PROMITA
YS-N24/69-6700087/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6700090/2022,35,,ADITA,,,YS-N24/71-6700090/2022,ADITA,45051,,,,,,,,A,Y,,saheli
YS-N24/69-6700094/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6700091/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6700023/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6700104/2022,35,,ADITA,,,YS-N24/71-6700104/2022,ADITA,45051,,,,,,,,A,Y,,cic
YS-N24/69-6500010/2022,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/69-6700048/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6700049/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6700124/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6700105/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6700111/2022,35,,ADITA,,,YS-N24/71-6700111/2022,ADITA,45051,,,,,,,,A,Y,,cic
YS-N24/69-6700005/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6500132/2022,43,,,,,,,,,,,,,,,A,N,,cic
YS-N24/69-6700121/2022,33,,ADFAS,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6900001/2022,25,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6400003/2022,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/69-6500007/2022,43,,,,,,,,,,,,,,,A,N,,cic
YS-N24/69-6400012/2022,43,,,,,,,,,,,,,,,A,N,,cic
YS-N24/69-6500136/2022,43,,,,,,,,,,,,,,,A,N,,cic
YS-N24/69-6700128/2022,35,,ADITA,,,YS-N24/71-6700128/2022,ADITA,45051,,,,,,,,A,Y,,saheli
YS-N24/69-6500130/2022,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/69-6700044/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6700191/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6700170/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6700180/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6900002/2022,23,,ADFAS,,,YS-N24/71-6900002/2022,ADFAS,33051,,,,,,,,A,Y,,saheli
YS-N24/69-6900003/2022,23,,ADFAS,,,YS-N24/71-6900003/2022,ADFAS,33051,,,,,,,,A,Y,,cic
YS-N24/69-6900004/2022,23,,ADFAS,,,YS-N24/71-6900004/2022,ADFAS,33051,,,,,,,,A,Y,,saheli
YS-N24/69-6900005/2022,23,,ADFAS,,,YS-N24/71-6900005/2022,ADFAS,33051,,,,,,,,A,Y,,cic
YS-N24/69-6500082/2022,43,,,,,,,,,,,,,,,A,N,,cic
YS-N24/69-6500120/2022,43,,,,,,,,,,,,,,,A,N,,cic
YS-N24/69-6500081/2022,43,,,,,,,,,,,,,,,A,N,,cic
YS-N24/69-6500043/2022,43,,,,,,,,,,,,,,,A,N,,cic
YS-N24/69-6500141/2022,43,,,,,,,,,,,,,,,A,N,,cic
YS-N24/69-6700001/2022,43,,,,,,,,,,,,,,,A,N,,cic
YS-N24/69-6500068/2022,43,,,,,,,,,,,,,,,A,N,,cic
YS-N24/69-6900006/2022,23,,ADFAS,,,YS-N24/71-6900006/2022,ADFAS,33051,,,,,,,,A,Y,,deba
YS-N24/69-6700122/2022,33,,ADFAS,,,YS-N24/71-6700122/2022,ADFAS,43051,,,,,,,,A,Y,,saheli
YS-N24/69-6700172/2022,33,,ADFAS,,,YS-N24/71-6700172/2022,ADFAS,43051,,,,,,,,A,Y,,deba
YS-N24/69-6700203/2022,33,,ADFAS,,,YS-N24/71-6700203/2022,ADFAS,43051,,,,,,,,A,Y,,saheli
YS-N24/69-6700204/2022,33,,ADFAS,,,YS-N24/71-6700204/2022,ADFAS,43051,,,,,,,,A,Y,,saheli
YS-N24/69-6700144/2022,33,,ADFAS,,,YS-N24/71-6700144/2022,ADFAS,43051,,,,,,,,A,Y,,saheli
YS-N24/69-6900007/2022,25,,ADITA,,,YS-N24/71-6900007/2022,ADITA,35054,,,,,,,,A,Y,,PROMITA
YS-N24/69-6900008/2022,25,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6700117/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6500019/2022,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/69-6900009/2022,23,,ADFAS,,,YS-N24/71-6900009/2022,ADFAS,33051,,,,,,,,A,Y,,saheli
YS-N24/69-6700125/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6700127/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6500127/2022,43,,,,,,,,,,,,,,,A,N,,cic
YS-N24/69-6500015/2022,43,,,,,,,,,,,,,,,A,N,,cic
YS-N24/69-6500016/2022,43,,,,,,,,,,,,,,,A,N,,cic
YS-N24/69-6500009/2022,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/69-6700206/2022,33,,ADFAS,,,YS-N24/71-6700206/2022,ADFAS,43051,,,,,,,,A,Y,,saheli
YS-N24/69-6700163/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6300232/2022,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/69-5100456/2022,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/69-6900010/2022,25,,ADITA,,,YS-N24/71-6900010/2022,ADITA,35051,,,,,,,,A,Y,,deba
YS-N24/69-6900011/2022,25,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6700017/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6700018/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6700198/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6500064/2022,43,,,,,,,,,,,,,,,A,N,,cic
YS-N24/69-6900012/2022,25,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/69-6900013/2022,25,,ADITA,,,,,,,,,,,,,A,Y,,cic
