reg_no,admission,admn_recpt,inst_1_due,inst_1_dt,i_1_recpt,inst_2_due,inst_2_dt,i_2_recpt,inst_3_due,inst_3_dt,i_3_recpt,inst_4_due,inst_4_dt,i_4_recpt,inst_5_due,inst_5_dt,i_5_recpt,inst_6_due,inst_6_dt,i_6_recpt,inst_7_due,inst_7_dt,i_7_recpt,inst_8_due,inst_8_dt,i_8_recpt,session,ses_half,Centre_Id,sem_payabl,sem_paypart,USER
YS-N24/77-7300053/2024,01/01/2024,1.0,10/02/2024,19/02/2024,265.0,10/03/2024,07/03/2024,369.0,10/04/2024,10/04/2024,951.0,10/05/2024,15/05/2024,1508.0,10/06/2024,05/06/2024,1637.0,,,,,,,,,,77,A,N24,3000.0,500.0,toyeba
YS-N24/77-7300070/2024,02/01/2024,2.0,10/02/2024,06/02/2024,138.0,10/03/2024,01/03/2024,315.0,10/04/2024,01/04/2024,706.0,10/05/2024,13/05/2024,1458.0,10/06/2024,03/06/2024,1607.0,,,,,,,,,,77,A,N24,3000.0,500.0,toyeba
YS-N24/77-7300080/2024,02/01/2024,3.0,10/02/2024,06/02/2024,140.0,10/03/2024,08/03/2024,393.0,10/04/2024,01/04/2024,707.0,10/05/2024,13/05/2024,1459.0,10/06/2024,06/06/2024,1680.0,,,,,,,,,,77,A,N24,3000.0,500.0,cic
YS-N24/77-7500018/2024,03/01/2024,4.0,10/02/2024,10/02/2024,218.0,10/03/2024,09/03/2024,433.0,10/04/2024,10/04/2024,974.0,10/05/2024,15/05/2024,1514.0,10/06/2024,12/06/2024,1859.0,,,,,,,,,,77,A,N24,3000.0,500.0,cic
YS-N24/77-7500050/2024,03/01/2024,5.0,10/02/2024,07/02/2024,156.0,10/03/2024,16/03/2024,556.0,10/04/2024,,,10/05/2024,,,10/06/2024,,,,,,,,,,,,77,A,N24,3000.0,500.0,cic
YS-N24/77-7500013/2024,03/01/2024,6.0,10/02/2024,06/03/2024,350.0,10/03/2024,06/03/2024,350.0,10/04/2024,06/04/2024,816.0,10/05/2024,11/05/2024,1438.0,10/06/2024,14/08/2024,2111.0,,,,,,,,,,77,A,N24,3000.0,500.0,cic
YS-N24/77-7500017/2024,03/01/2024,7.0,10/02/2024,13/03/2024,497.0,10/03/2024,13/03/2024,497.0,10/04/2024,10/04/2024,967.0,10/05/2024,15/05/2024,1515.0,10/06/2024,19/06/2024,1929.0,,,,,,,,,,77,A,N24,3000.0,500.0,cic
YS-N24/77-7500086/2024,03/01/2024,8.0,10/02/2024,03/02/2024,127.0,10/03/2024,06/03/2024,354.0,10/04/2024,06/04/2024,814.0,10/05/2024,11/05/2024,1430.0,10/06/2024,05/06/2024,1645.0,,,,,,,,,,77,A,N24,3000.0,500.0,toyeba
YS-N24/77-7500073/2024,03/01/2024,9.0,10/02/2024,07/02/2024,163.0,10/03/2024,09/03/2024,434.0,10/04/2024,10/04/2024,973.0,10/05/2024,11/05/2024,1432.0,10/06/2024,08/06/2024,1761.0,,,,,,,,,,77,A,N24,3000.0,500.0,cic
YS-N24/77-7500079/2024,04/01/2024,10.0,10/02/2024,26/02/2024,293.0,10/03/2024,15/04/2024,1006.0,10/04/2024,15/04/2024,1006.0,10/05/2024,16/05/2024,1523.0,10/06/2024,20/06/2024,1932.0,,,,,,,,,,77,A,N24,3000.0,500.0,saheli
YS-N24/77-7500001/2024,04/01/2024,11.0,10/02/2024,05/02/2024,132.0,10/03/2024,07/03/2024,376.0,10/04/2024,08/04/2024,845.0,10/05/2024,06/05/2024,1200.0,10/06/2024,03/06/2024,1608.0,,,,,,,,,,77,A,N24,3000.0,500.0,toyeba
YS-N24/77-7300204/2024,04/01/2024,12.0,10/02/2024,08/02/2024,176.0,10/03/2024,07/03/2024,375.0,10/04/2024,03/04/2024,732.0,10/05/2024,08/05/2024,1271.0,10/06/2024,08/06/2024,1743.0,,,,,,,,,,77,A,N24,3000.0,500.0,toyeba
YS-N24/77-7300065/2024,04/01/2024,13.0,10/02/2024,15/02/2024,245.0,10/03/2024,07/03/2024,368.0,10/04/2024,03/04/2024,733.0,10/05/2024,08/05/2024,1272.0,10/06/2024,10/06/2024,1771.0,,,,,,,,,,77,A,N24,3000.0,500.0,toyeba
YS-N24/77-7500039/2024,04/01/2024,14.0,10/02/2024,05/02/2024,131.0,10/03/2024,08/03/2024,400.0,10/04/2024,04/04/2024,756.0,10/05/2024,02/05/2024,1164.0,10/06/2024,03/06/2024,1606.0,,,,,,,,,,77,A,N24,3000.0,500.0,toyeba
YS-N24/77-7500103/2024,04/01/2024,15.0,10/02/2024,08/02/2024,181.0,10/03/2024,07/03/2024,380.0,10/04/2024,08/04/2024,850.0,10/05/2024,10/05/2024,1347.0,10/06/2024,14/06/2024,1890.0,,,,,,,,,,77,A,N24,3000.0,500.0,cic
YS-N24/77-7500102/2024,04/01/2024,16.0,10/02/2024,08/02/2024,182.0,10/03/2024,07/03/2024,381.0,10/04/2024,08/04/2024,849.0,10/05/2024,10/05/2024,1348.0,10/06/2024,06/06/2024,1671.0,,,,,,,,,,77,A,N24,3000.0,500.0,toyeba
YS-N24/77-7500031/2024,04/01/2024,17.0,10/02/2024,02/02/2024,119.0,10/03/2024,08/03/2024,411.0,10/04/2024,09/04/2024,919.0,10/05/2024,07/05/2024,1256.0,10/06/2024,07/06/2024,1714.0,,,,,,,,,,77,A,N24,3000.0,500.0,cic
YS-N24/77-7300232/2024,05/01/2024,18.0,10/02/2024,06/02/2024,141.0,10/03/2024,12/03/2024,465.0,10/04/2024,08/04/2024,843.0,10/05/2024,13/05/2024,1450.0,10/06/2024,06/06/2024,1677.0,,,,,,,,,,77,A,N24,3000.0,500.0,cic
YS-N24/77-7300200/2024,05/01/2024,19.0,10/02/2024,05/03/2024,331.0,10/03/2024,08/03/2024,396.0,10/04/2024,08/04/2024,846.0,10/05/2024,09/05/2024,1305.0,10/06/2024,13/06/2024,1874.0,,,,,,,,,,77,A,N24,3000.0,500.0,toyeba
YS-N24/77-7300128/2024,05/01/2024,20.0,10/02/2024,06/02/2024,139.0,10/03/2024,05/03/2024,333.0,10/04/2024,08/04/2024,851.0,10/05/2024,10/05/2024,1370.0,10/06/2024,04/06/2024,1616.0,,,,,,,,,,77,A,N24,3000.0,500.0,RAKHI DAS
YS-N24/77-7300119/2024,05/01/2024,21.0,10/02/2024,09/02/2024,192.0,10/03/2024,19/03/2024,595.0,10/04/2024,13/05/2024,1451.0,10/05/2024,14/05/2024,1490.0,10/06/2024,01/07/2024,1995.0,,,,,,,,,,77,A,N24,3000.0,500.0,cic
YS-N24/77-7300019/2024,05/01/2024,22.0,10/02/2024,06/02/2024,153.0,10/03/2024,08/03/2024,418.0,10/04/2024,09/04/2024,921.0,10/05/2024,17/05/2024,1543.0,10/06/2024,17/05/2024,1543.0,,,,,,,,,,77,A,N24,3000.0,500.0,cic
YS-N24/77-7300237/2024,05/01/2024,23.0,10/02/2024,02/02/2024,122.0,10/03/2024,19/03/2024,616.0,10/04/2024,10/05/2024,1389.0,10/05/2024,21/05/2024,1574.0,10/06/2024,07/06/2024,1717.0,,,,,,,,,,77,A,N24,3000.0,500.0,cic
YS-N24/77-7300104/2024,05/01/2024,24.0,10/02/2024,10/02/2024,209.0,10/03/2024,19/03/2024,614.0,10/04/2024,05/04/2024,788.0,10/05/2024,07/05/2024,1258.0,10/06/2024,04/06/2024,1620.0,,,,,,,,,,77,A,N24,3000.0,500.0,cic
YS-N24/77-7300092/2024,05/01/2024,25.0,10/02/2024,06/02/2024,152.0,10/03/2024,15/03/2024,542.0,10/04/2024,05/04/2024,787.0,10/05/2024,10/05/2024,1383.0,10/06/2024,07/06/2024,1722.0,,,,,,,,,,77,A,N24,3000.0,500.0,cic
YS-N24/77-7300228/2024,05/01/2024,26.0,10/02/2024,06/02/2024,155.0,10/03/2024,05/03/2024,345.0,10/04/2024,05/04/2024,784.0,10/05/2024,07/05/2024,1253.0,10/06/2024,07/06/2024,1723.0,,,,,,,,,,77,A,N24,3000.0,500.0,cic
YS-N24/77-7300147/2024,05/01/2024,27.0,10/02/2024,09/02/2024,206.0,10/03/2024,15/03/2024,546.0,10/04/2024,17/05/2024,1548.0,10/05/2024,17/05/2024,1548.0,10/06/2024,11/06/2024,1848.0,,,,,,,,,,77,A,N24,3000.0,500.0,cic
YS-N24/77-7300160/2024,05/01/2024,28.0,10/02/2024,02/02/2024,121.0,10/03/2024,08/03/2024,416.0,10/04/2024,12/04/2024,990.0,10/05/2024,03/05/2024,1168.0,10/06/2024,04/06/2024,1622.0,,,,,,,,,,77,A,N24,3000.0,500.0,cic
YS-N24/77-7300226/2024,05/01/2024,29.0,10/02/2024,10/02/2024,219.0,10/03/2024,08/03/2024,417.0,10/04/2024,05/04/2024,785.0,10/05/2024,07/05/2024,1255.0,10/06/2024,07/06/2024,1721.0,,,,,,,,,,77,A,N24,3000.0,500.0,cic
YS-N24/77-7300037/2024,06/01/2024,30.0,10/02/2024,06/02/2024,149.0,10/03/2024,08/03/2024,405.0,10/04/2024,06/04/2024,793.0,10/05/2024,08/05/2024,1276.0,10/06/2024,04/06/2024,1617.0,,,,,,,,,,77,A,N24,3000.0,500.0,RAKHI DAS
YS-N24/77-7500006/2024,06/01/2024,31.0,10/02/2024,03/02/2024,125.0,10/03/2024,07/03/2024,385.0,10/04/2024,,,10/05/2024,,,10/06/2024,,,,,,,,,,,,77,A,N24,3000.0,500.0,cic
YS-N24/77-7500007/2024,06/01/2024,32.0,10/02/2024,07/02/2024,160.0,10/03/2024,09/03/2024,427.0,10/04/2024,10/04/2024,970.0,10/05/2024,08/05/2024,1280.0,10/06/2024,05/06/2024,1652.0,,,,,,,,,,77,A,N24,3000.0,500.0,toyeba
