reg_no,batchcode,lateral,course_ap1,course_ap2,course_ap3,n_reg_no_1,course_ad1,batch_no_1,n_reg_no_2,course_ad2,batch_no_2,n_reg_no_3,course_ad3,batch_no_3,Session,ses_half,already_dip,Centre,USER
YS-N24/29-2300482/2011,35,,,,,,,,,,,,,,29,A,N,N24,UNKNOWN
YS-N24/29-2500026/2011,45,,,,,,,,,,,,,,29,A,N,N24,UNKNOWN
YS-N24/29-2500037/2011,45,,,,,,,,,,,,,,29,A,N,N24,UNKNOWN
YS-N24/29-2500105/2011,45,,,,,,,,,,,,,,29,A,N,N24,UNKNOWN
YS-N24/29-2500185/2011,45,,,,,,,,,,,,,,29,A,N,N24,UNKNOWN
YS-N24/29-2500212/2011,45,,,,,,,,,,,,,,29,A,N,N24,UNKNOWN
YS-N24/29-2500286/2011,45,,,,,,,,,,,,,,29,A,N,N24,UNKNOWN
YS-N24/29-2500293/2011,45,,,,,,,,,,,,,,29,A,N,N24,UNKNOWN
YS-N24/29-2500317/2011,45,,,,,,,,,,,,,,29,A,N,N24,UNKNOWN
YS-N24/29-2700001/2011,35,,,,,,,,,,,,,,29,A,N,N24,UNKNOWN
YS-N24/29-2700002/2011,35,,,,,,,,,,,,,,29,A,N,N24,UNKNOWN
YS-N24/29-2700006/2011,35,,,,,,,,,,,,,,29,A,N,N24,UNKNOWN
YS-N24/29-2700008/2011,37,,,,,,,,,,,,,,29,A,N,N24,UNKNOWN
YS-N24/29-2700009/2011,34,,,,,,,,,,,,,,29,A,N,N24,UNKNOWN
YS-N24/29-2700010/2011,34,,,,,,,,,,,,,,29,A,N,N24,UNKNOWN
YS-N24/29-2700011/2011,37,,,,,,,,,,,,,,29,A,N,N24,UNKNOWN
YS-N24/29-2700012/2011,35,,,,,,,,,,,,,,29,A,N,N24,UNKNOWN
YS-N24/29-2700013/2011,35,,,,,,,,,,,,,,29,A,N,N24,UNKNOWN
YS-N24/29-2700014/2011,35,,,,,,,,,,,,,,29,A,N,N24,UNKNOWN
YS-N24/29-2700016/2011,37,,,,,,,,,,,,,,29,A,N,N24,UNKNOWN
YS-N24/29-2700020/2011,35,,CDTP(LAT),,,YS-N24/30-3000201/2011,CDTP(LAT),22001,,,,,,,29,A,N,N24,UNKNOWN
YS-N24/29-2700025/2011,35,,,,,,,,,,,,,,29,A,N,N24,UNKNOWN
YS-N24/29-2700026/2011,32,,CITA(LAT),,,YS-N24/30-3000199/2011,CITA(LAT),25008,,,,,,,29,A,N,N24,UNKNOWN
YS-N24/29-2700027/2011,33,,,,,,,,,,,,,,29,A,N,N24,UNKNOWN
YS-N24/29-2700028/2011,33,,,,,,,,,,,,,,29,A,N,N24,UNKNOWN
YS-N24/29-2700029/2011,35,,,,,,,,,,,,,,29,A,N,N24,UNKNOWN
YS-N24/29-2700031/2011,35,,,,,,,,,,,,,,29,A,N,N24,UNKNOWN
YS-N24/29-2700032/2011,35,,,,,,,,,,,,,,29,A,N,N24,UNKNOWN
