reg_no,admission,admn_recpt,inst_1_due,inst_1_dt,i_1_recpt,inst_2_due,inst_2_dt,i_2_recpt,inst_3_due,inst_3_dt,i_3_recpt,inst_4_due,inst_4_dt,i_4_recpt,inst_5_due,inst_5_dt,i_5_recpt,inst_6_due,inst_6_dt,i_6_recpt,inst_7_due,inst_7_dt,i_7_recpt,inst_8_due,inst_8_dt,i_8_recpt,session,ses_half,Centre_Id,sem_payabl,sem_paypart,USER
YS-N24/14-1400001/2006,07/12/2005,1.0,10/01/2006,02/01/2006,349.0,10/02/2006,01/02/2006,1089.0,10/03/2006,01/03/2006,1860.0,10/04/2006,05/04/2006,2769.0,10/05/2006,03/05/2006,3448.0,,,0.0,,,0.0,,,0.0,14,A,N24,2400.0,0.0,UNKNOWN
YS-N24/14-1400002/2006,07/12/2005,2.0,10/01/2006,04/01/2006,371.0,10/02/2006,01/02/2006,1091.0,10/03/2006,03/03/2006,1930.0,10/04/2006,10/04/2006,3144.0,10/05/2006,10/05/2006,3953.0,,,0.0,,,0.0,,,0.0,14,A,N24,2400.0,0.0,UNKNOWN
YS-N24/14-1400003/2006,07/12/2005,3.0,10/01/2006,18/01/2006,922.0,10/02/2006,04/02/2006,1143.0,10/03/2006,02/03/2006,1901.0,10/04/2006,04/04/2006,2703.0,10/05/2006,06/05/2006,3642.0,,,0.0,,,0.0,,,0.0,14,A,N24,2400.0,0.0,UNKNOWN
YS-N24/14-1400004/2006,07/12/2005,4.0,10/01/2006,18/01/2006,923.0,10/02/2006,01/03/2006,1861.0,10/03/2006,01/03/2006,1861.0,10/04/2006,07/04/2006,2916.0,10/05/2006,10/05/2006,3941.0,,,0.0,,,0.0,,,0.0,14,A,N24,2400.0,0.0,UNKNOWN
YS-N24/14-1400005/2006,07/12/2005,5.0,10/01/2006,11/01/2006,475.0,10/02/2006,11/02/2006,1580.0,10/03/2006,08/03/2006,2237.0,10/04/2006,19/04/2006,3375.0,10/05/2006,10/05/2006,3973.0,,,0.0,,,0.0,,,0.0,14,A,N24,2400.0,0.0,UNKNOWN
YS-N24/14-1400006/2006,07/12/2005,6.0,10/01/2006,09/01/2006,432.0,10/02/2006,,0.0,10/03/2006,,0.0,10/04/2006,,0.0,10/05/2006,,0.0,,,0.0,,,0.0,,,0.0,14,A,N24,2400.0,0.0,UNKNOWN
YS-N24/14-1400007/2006,07/12/2005,7.0,10/01/2006,06/01/2006,398.0,10/02/2006,08/02/2006,1466.0,10/03/2006,06/03/2006,2052.0,10/04/2006,03/04/2006,2675.0,10/05/2006,03/05/2006,3465.0,,,0.0,,,0.0,,,0.0,14,A,N24,2400.0,0.0,UNKNOWN
YS-N24/14-1400008/2006,07/12/2005,8.0,10/01/2006,19/01/2006,963.0,10/02/2006,08/02/2006,1467.0,10/03/2006,08/03/2006,2234.0,10/04/2006,03/04/2006,2677.0,10/05/2006,03/05/2006,3466.0,,,0.0,,,0.0,,,0.0,14,A,N24,2400.0,0.0,UNKNOWN
YS-N24/14-1400009/2006,07/12/2005,9.0,10/01/2006,09/01/2006,434.0,10/02/2006,06/02/2006,1225.0,10/03/2006,06/03/2006,2053.0,10/04/2006,03/04/2006,2676.0,10/05/2006,08/05/2006,3763.0,,,0.0,,,0.0,,,0.0,14,A,N24,2400.0,0.0,UNKNOWN
YS-N24/14-1400010/2006,07/12/2005,10.0,10/01/2006,11/01/2006,476.0,10/02/2006,14/02/2006,1681.0,10/03/2006,10/03/2006,2425.0,10/04/2006,10/05/2006,3981.0,10/05/2006,24/05/2006,4162.0,,,0.0,,,0.0,,,0.0,14,A,N24,2400.0,0.0,UNKNOWN
YS-N24/14-1400011/2006,07/12/2005,11.0,10/01/2006,18/01/2006,912.0,10/02/2006,11/02/2006,1619.0,10/03/2006,10/03/2006,2413.0,10/04/2006,08/04/2006,3045.0,10/05/2006,09/05/2006,3904.0,,,0.0,,,0.0,,,0.0,14,A,N24,2400.0,0.0,UNKNOWN
YS-N24/14-1400012/2006,07/12/2005,12.0,10/01/2006,04/01/2006,380.0,10/02/2006,15/02/2006,1723.0,10/03/2006,01/03/2006,1869.0,10/04/2006,07/04/2006,2944.0,10/05/2006,03/05/2006,3479.0,,,0.0,,,0.0,,,0.0,14,A,N24,2400.0,0.0,UNKNOWN
