reg_no,batchcode,lateral,course_ap1,course_ap2,course_ap3,n_reg_no_1,course_ad1,batch_no_1,n_reg_no_2,course_ad2,batch_no_2,n_reg_no_3,course_ad3,batch_no_3,Session,ses_half,already_dip,Centre,USER
YS-N24/67-6700079/2021,25,L,ADITA,,,YS-N24/69-6700079/2022,ADITA,35051,,,,,,,69,A,,N24,cic
YS-N24/67-6700171/2021,25,L,ADITA,,,YS-N24/69-6700171/2022,ADITA,35051,,,,,,,69,A,,N24,cic
YS-N24/67-6500043/2021,33,,ADFAS,,,YS-N24/69-6500043/2022,ADFAS,43051,,,,,,,,A,Y,,saikat dey
YS-N24/67-6500134/2021,33,,ADFAS,,,YS-N24/69-6500134/2022,ADFAS,43051,,,,,,,,A,Y,,LNG
YS-N24/67-6500141/2021,33,,ADFAS,,,YS-N24/69-6500141/2022,ADFAS,43051,,,,,,,,A,Y,,saikat dey
YS-N24/67-6500133/2021,33,,ADFAS,,,,,,,,,,,,,A,Y,,cic
YS-N24/67-6700001/2021,33,,ADFAS,,,YS-N24/69-6700001/2022,ADFAS,43051,,,,,,,,A,Y,,saikat dey
YS-N24/67-6500015/2021,33,,ADFAS,,,YS-N24/69-6500015/2022,ADFAS,43051,,,,,,,,A,Y,,cic
YS-N24/67-6500016/2021,33,,ADFAS,,,YS-N24/69-6500016/2022,ADFAS,43051,,,,,,,,A,Y,,cic
YS-N24/67-6400011/2021,33,,ADFAS,,,,,,,,,,,,,A,Y,,cic
YS-N24/67-6500081/2021,33,,ADFAS,,,YS-N24/69-6500081/2022,ADFAS,43051,,,,,,,,A,Y,,saikat dey
YS-N24/67-6400031/2021,35,,ADITA,,,YS-N24/69-6400031/2022,ADITA,45051,,,,,,,,A,Y,,saikat dey
YS-N24/67-6500098/2021,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/67-6500130/2021,35,,ADITA,,,YS-N24/69-6500130/2022,ADITA,45051,,,,,,,,A,Y,,cic
YS-N24/67-6500129/2021,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/67-6500059/2021,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/67-6500014/2021,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/67-6500011/2021,35,,ADITA,,,YS-N24/69-6500011/2022,ADITA,45051,,,,,,,,A,Y,,saikat dey
YS-N24/67-6500108/2021,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/67-6500008/2021,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/67-6500120/2021,33,,ADFAS,,,YS-N24/69-6500120/2022,ADFAS,43051,,,,,,,,A,Y,,saikat dey
YS-N24/67-6700002/2021,25,,ADITA,,,,,,,,,,,,,A,Y,,cic
