reg_no,batchcode,lateral,course_ap1,course_ap2,course_ap3,n_reg_no_1,course_ad1,batch_no_1,n_reg_no_2,course_ad2,batch_no_2,n_reg_no_3,course_ad3,batch_no_3,Session,ses_half,already_dip,Centre,USER
YS-N24/43-3900626/2015,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/43-4100202/2015,35,,,,,,,,,,,,,,,A,N,,cic
YS-N24/43-4100099/2015,35,,ADITA,,,YS-N24/45-4100099/2015,ADITA,45051,,,,,,,,A,N,,saheli
YS-N24/43-4100047/2015,35,,ADITA,,,YS-N24/45-4100047/2015,ADITA,45051,,,,,,,,A,N,,saheli
YS-N24/43-3900381/2015,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/43-4100035/2015,35,,ADITA,,,YS-N24/45-4100035/2015,ADITA,45051,,,,,,,,A,N,,PROMITA
YS-N24/43-3900418/2015,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/43-3900416/2015,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/43-3900342/2015,45,,CCHM,,,YS-N24/45-4500004/2015,CCHM,27051,,,,,,,,A,N,,cic
YS-N24/43-3900287/2015,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/43-3900487/2015,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/43-4100105/2015,35,,,,,,,,,,,,,,,A,N,,cic
YS-N24/43-4100169/2015,35,,,,,,,,,,,,,,,A,N,,cic
YS-N24/43-4100170/2015,35,,,,,,,,,,,,,,,A,N,,cic
YS-N24/43-4100132/2015,35,,,,,,,,,,,,,,,A,N,,cic
YS-N24/43-4100133/2015,35,,,,,,,,,,,,,,,A,N,,cic
YS-N24/43-4100159/2015,35,,,,,,,,,,,,,,,A,N,,cic
YS-N24/43-4100128/2015,35,,,,,,,,,,,,,,,A,N,,cic
YS-N24/43-4100191/2015,35,,,,,,,,,,,,,,,A,N,,cic
YS-N24/43-3900143/2015,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/43-4100171/2015,35,,ADITA,,,YS-N24/45-4100171/2015,ADITA,45051,,,,,,,,A,N,,saheli
YS-N24/43-4100156/2015,35,,ADITA,,,YS-N24/45-4100156/2015,ADITA,45051,,,,,,,,A,N,,saheli
YS-N24/43-4100163/2015,35,,,,,,,,,,,,,,,A,N,,cic
YS-N24/43-4100141/2015,35,,,,,,,,,,,,,,,A,N,,cic
YS-N24/43-4100136/2015,35,,ADITA,,,YS-N24/45-4100136/2015,ADITA,45051,,,,,,,,A,N,,PROMITA
YS-N24/43-4100134/2015,35,,,,,,,,,,,,,,,A,N,,cic
YS-N24/43-4100135/2015,35,,,,,,,,,,,,,,,A,N,,cic
YS-N24/43-4100160/2015,35,,,,,,,,,,,,,,,A,N,,cic
YS-N24/43-4100002/2015,35,,ADITA,,,YS-N24/45-4100002/2015,ADITA,45051,,,,,,,,A,N,,saheli
YS-N24/43-4100018/2015,35,,ADITA,,,YS-N24/45-4100018/2015,ADITA,45051,,,,,,,,A,N,,PROMITA
YS-N24/43-4100001/2015,35,,,,,,,,,,,,,,,A,N,,cic
YS-N24/43-4100009/2015,35,,,,,,,,,,,,,,,A,N,,cic
