reg_no,admission,admn_recpt,inst_1_due,inst_1_dt,i_1_recpt,inst_2_due,inst_2_dt,i_2_recpt,inst_3_due,inst_3_dt,i_3_recpt,inst_4_due,inst_4_dt,i_4_recpt,inst_5_due,inst_5_dt,i_5_recpt,inst_6_due,inst_6_dt,i_6_recpt,inst_7_due,inst_7_dt,i_7_recpt,inst_8_due,inst_8_dt,i_8_recpt,session,ses_half,Centre_Id,sem_payabl,sem_paypart,USER
YS-N24/43-3900626/2015,05/11/2014,6.0,10/12/2014,22/11/2014,229.0,10/01/2015,22/11/2014,229.0,10/02/2015,02/02/2015,993.0,10/03/2015,02/02/2015,993.0,10/04/2015,09/03/2015,1647.0,,,,,,,,,,43,A,N24,3000.0,500.0,PROMITA
YS-N24/43-4100202/2015,05/11/2014,7.0,10/12/2014,16/12/2014,475.0,10/01/2015,05/02/2015,1051.0,10/02/2015,05/02/2015,1051.0,10/03/2015,28/03/2015,2224.0,10/04/2015,,,,,,,,,,,,43,A,N24,3000.0,500.0,PROMITA
YS-N24/43-4100099/2015,05/11/2014,8.0,10/12/2014,06/12/2014,334.0,10/01/2015,09/01/2015,764.0,10/02/2015,02/02/2015,984.0,10/03/2015,16/03/2015,2033.0,10/04/2015,09/04/2015,2604.0,,,,,,,,,,43,A,N24,3000.0,500.0,saheli
YS-N24/43-4100047/2015,05/11/2014,9.0,10/12/2014,08/12/2014,350.0,10/01/2015,08/01/2015,687.0,10/02/2015,05/02/2015,1039.0,10/03/2015,16/03/2015,1996.0,10/04/2015,20/04/2015,2965.0,,,,,,,,,,43,A,N24,3000.0,500.0,saheli
YS-N24/43-3900381/2015,05/11/2014,10.0,10/12/2014,10/12/2014,389.0,10/01/2015,02/02/2015,990.0,10/02/2015,16/02/2015,1286.0,10/03/2015,09/03/2015,1667.0,10/04/2015,09/04/2015,2676.0,,,,,,,,,,43,A,N24,3000.0,500.0,PROMITA
YS-N24/43-4100035/2015,05/11/2014,11.0,10/12/2014,10/12/2014,409.0,10/01/2015,10/01/2015,793.0,10/02/2015,05/02/2015,1055.0,10/03/2015,12/03/2015,1872.0,10/04/2015,09/04/2015,2660.0,,,,,,,,,,43,A,N24,3000.0,500.0,PROMITA
YS-N24/43-3900418/2015,05/11/2014,12.0,10/12/2014,03/12/2014,305.0,10/01/2015,10/01/2015,831.0,10/02/2015,07/02/2015,1124.0,10/03/2015,11/03/2015,1805.0,10/04/2015,08/04/2015,2579.0,,,,,,,,,,43,A,N24,3000.0,500.0,PROMITA
YS-N24/43-3900416/2015,05/11/2014,13.0,10/12/2014,10/12/2014,416.0,10/01/2015,08/01/2015,724.0,10/02/2015,04/02/2015,1036.0,10/03/2015,04/03/2015,1391.0,10/04/2015,04/04/2015,2348.0,,,,,,,,,,43,A,N24,3000.0,500.0,PROMITA
YS-N24/43-3900342/2015,05/11/2014,14.0,10/12/2014,10/12/2014,410.0,10/01/2015,07/01/2015,683.0,10/02/2015,07/02/2015,1126.0,10/03/2015,07/03/2015,1512.0,10/04/2015,08/04/2015,2581.0,,,,,,,,,,43,A,N24,3000.0,500.0,PROMITA
YS-N24/43-3900287/2015,05/11/2014,15.0,10/12/2014,01/12/2014,290.0,10/01/2015,06/01/2015,639.0,10/02/2015,06/02/2015,1075.0,10/03/2015,07/03/2015,1522.0,10/04/2015,10/04/2015,2820.0,,,,,,,,,,43,A,N24,3000.0,500.0,PROMITA
