reg_no,batchcode,lateral,course_ap1,course_ap2,course_ap3,n_reg_no_1,course_ad1,batch_no_1,n_reg_no_2,course_ad2,batch_no_2,n_reg_no_3,course_ad3,batch_no_3,Session,ses_half,already_dip,Centre,USER
YS-N24/52-5200113/2017,23,L,ADFAS,,,YS-N24/54-5200113/2017,ADFAS,33001,,,,,,,54,A,,N24,PROMITA
YS-N24/52-5200191/2017,23,L,ADFAS,,,YS-N24/54-5200191/2017,ADFAS,33001,,,,,,,54,A,,N24,PROMITA
YS-N24/52-5200104/2017,23,L,ADFAS,,,YS-N24/54-5200104/2017,ADFAS,33001,,,,,,,54,A,,N24,PROMITA
YS-N24/52-5200105/2017,23,L,ADFAS,,,YS-N24/54-5200105/2017,ADFAS,33001,,,,,,,54,A,,N24,PROMITA
YS-N24/52-5200174/2017,23,L,ADFAS,,,YS-N24/54-5200174/2017,ADFAS,33001,,,,,,,54,A,,N24,PROMITA
YS-N24/52-5200242/2017,25,L,CFAS(LAT),,,YS-N24/65-6500141/2021,CFAS(LAT),23051,,,,,,,54,A,,N24,saheli
YS-N24/52-5200117/2017,25,L,ADITA,,,YS-N24/54-5200117/2017,ADITA,35001,,,,,,,54,A,,N24,saheli
YS-N24/52-5200118/2017,25,L,ADITA,,,YS-N24/54-5200118/2017,ADITA,35001,,,,,,,54,A,,N24,saheli
YS-N24/52-5200205/2017,25,L,ADITA,,,YS-N24/54-5200205/2017,ADITA,35001,,,,,,,54,A,,N24,saheli
YS-N24/52-5000018/2017,35,L,ADITA,,,YS-N24/54-5000018/2017,ADITA,45001,,,,,,,54,A,,N24,saheli
YS-N24/52-5200315/2017,25,L,ADITA,,,YS-N24/54-5200315/2017,ADITA,35001,,,,,,,54,A,,N24,saheli
YS-N24/52-5200230/2017,25,L,ADITA,,,YS-N24/54-5200230/2017,ADITA,35001,,,,,,,54,A,,N24,saheli
YS-N24/52-5200233/2017,25,L,ADITA,,,YS-N24/54-5200233/2017,ADITA,35001,,,,,,,54,A,,N24,saheli
YS-N24/52-5200232/2017,25,L,ADITA,,,YS-N24/54-5200232/2017,ADITA,35001,,,,,,,54,A,,N24,saheli
YS-N24/52-5200332/2017,25,L,ADITA,,,YS-N24/59-5200332/2019,ADITA,35051,,,,,,,54,A,,N24,saheli
YS-N24/52-5200270/2017,25,L,ADITA,,,YS-N24/54-5200270/2017,ADITA,35001,,,,,,,54,A,,N24,PROMITA
YS-N24/52-5000079/2017,35,L,ADITA,,,YS-N24/54-5000079/2017,ADITA,45001,,,,,,,54,A,,N24,PROMITA
YS-N24/52-5200137/2017,25,L,ADITA,,,YS-N24/54-5200137/2017,ADITA,35003,,,,,,,54,A,,N24,PROMITA
YS-N24/52-5200298/2017,27,L,DCHM,,,YS-N24/54-5200298/2017,DCHM,37001,,,,,,,54,A,,N24,PROMITA
YS-N24/52-5200002/2017,27,L,DCHM,,,YS-N24/54-5200002/2017,DCHM,37001,,,,,,,54,A,,N24,PROMITA
YS-N24/52-5200187/2017,25,L,ADITA,,,YS-N24/54-5200187/2017,ADITA,35001,,,,,,,54,A,,N24,PROMITA
YS-N24/52-5200101/2017,25,L,ADITA,,,YS-N24/54-5200101/2017,ADITA,35004,,,,,,,54,A,,N24,PROMITA
YS-N24/52-5200271/2017,25,L,ADITA,,,YS-N24/54-5200271/2017,ADITA,35004,,,,,,,54,A,,N24,PROMITA
YS-N24/52-5200272/2017,25,L,ADITA,,,YS-N24/54-5200272/2017,ADITA,35004,,,,,,,54,A,,N24,PROMITA
YS-N24/52-5200155/2017,23,L,ADFAS,,,YS-N24/54-5200155/2017,ADFAS,33001,,,,,,,54,A,,N24,saheli
YS-N24/52-5200173/2017,23,L,ADFAS,,,YS-N24/54-5200173/2017,ADFAS,33001,,,,,,,54,A,,N24,saheli
YS-N24/52-5200183/2017,23,L,ADFAS,,,YS-N24/54-5200183/2017,ADFAS,33001,,,,,,,54,A,,N24,saheli
YS-N24/52-5200106/2017,23,L,ADFAS,,,YS-N24/54-5200106/2017,ADFAS,33001,,,,,,,54,A,,N24,saheli
YS-N24/52-5200201/2017,23,L,ADFAS,,,YS-N24/54-5200201/2017,ADFAS,33001,,,,,,,54,A,,N24,saheli
YS-N24/52-5200010/2017,23,L,ADFAS,,,YS-N24/54-5200010/2017,ADFAS,33001,,,,,,,54,A,,N24,saheli
YS-N24/52-5200150/2017,23,L,ADFAS,,,YS-N24/54-5200150/2017,ADFAS,33001,,,,,,,54,A,,N24,saheli
YS-N24/52-5200221/2017,23,L,ADFAS,,,YS-N24/54-5200221/2017,ADFAS,33001,,,,,,,54,A,,N24,saheli
YS-N24/52-5200114/2017,23,L,ADFAS,,,YS-N24/54-5200114/2017,ADFAS,33001,,,,,,,54,A,,N24,saheli
YS-N24/52-5200251/2017,23,L,ADFAS,,,YS-N24/54-5200251/2017,ADFAS,33001,,,,,,,54,A,,N24,saheli
YS-N24/52-5200151/2017,25,L,ADITA,,,YS-N24/54-5200151/2017,ADITA,35001,,,,,,,54,A,,N24,saheli
YS-N24/52-5200136/2017,25,L,ADITA,,,YS-N24/54-5200136/2017,ADITA,35001,,,,,,,54,A,,N24,saheli
YS-N24/52-5200120/2017,25,L,ADITA,,,YS-N24/54-5200120/2017,ADITA,35001,,,,,,,54,A,,N24,saheli
YS-N24/52-5200121/2017,25,L,ADITA,,,YS-N24/54-5200121/2017,ADITA,35001,,,,,,,54,A,,N24,saheli
YS-N24/52-5200231/2017,25,L,ADITA,,,YS-N24/54-5200231/2017,ADITA,35001,,,,,,,54,A,,N24,saheli
YS-N24/52-5200220/2017,25,L,ADITA,,,YS-N24/54-5200220/2017,ADITA,35001,,,,,,,54,A,,N24,saheli
YS-N24/52-5200204/2017,25,L,ADITA,,,YS-N24/54-5200204/2017,ADITA,35001,,,,,,,54,A,,N24,saheli
YS-N24/52-5200235/2017,25,L,ADITA,,,YS-N24/54-5200235/2017,ADITA,35001,,,,,,,54,A,,N24,saheli
YS-N24/52-5200234/2017,25,L,ADITA,,,YS-N24/54-5200234/2017,ADITA,35001,,,,,,,54,A,,N24,saheli
YS-N24/52-5200009/2017,25,L,ADITA,,,YS-N24/54-5200009/2017,ADITA,35003,,,,,,,54,A,,N24,PROMITA
YS-N24/52-5000004/2017,33,L,ADFAS,,,YS-N24/54-5000004/2017,ADFAS,43001,,,,,,,54,A,,N24,PROMITA
YS-N24/52-5000006/2017,35,L,ADITA,,,YS-N24/54-5000006/2017,ADITA,45001,,,,,,,54,A,,N24,saheli
YS-N24/52-5200123/2017,25,L,ADITA,,,YS-N24/54-5200123/2017,ADITA,35003,,,,,,,54,A,,N24,PROMITA
YS-N24/52-5200092/2017,25,L,ADITA,,,YS-N24/54-5200092/2017,ADITA,35004,,,,,,,54,A,,N24,PROMITA
YS-N24/52-5200103/2017,25,L,ADITA,,,YS-N24/54-5200103/2017,ADITA,35003,,,,,,,54,A,,N24,PROMITA
YS-N24/52-5200048/2017,27,L,DCHM,,,YS-N24/54-5200048/2017,DCHM,37001,,,,,,,54,A,,N24,PROMITA
YS-N24/52-5200152/2017,25,L,ADITA,,,YS-N24/54-5200152/2017,ADITA,35004,,,,,,,54,A,,N24,PROMITA
YS-N24/52-5200252/2017,25,L,ADITA,,,YS-N24/54-5200252/2017,ADITA,35004,,,,,,,54,A,,N24,PROMITA
YS-N24/52-5200253/2017,25,L,ADITA,,,YS-N24/54-5200253/2017,ADITA,35004,,,,,,,54,A,,N24,PROMITA
YS-N24/52-5200097/2017,25,L,CDTP(LAT),,,YS-N24/55-5500143/2018,CDTP(LAT),22051,,,,,,,54,A,,N24,PROMITA
YS-N24/52-5200093/2017,25,L,ADITA,,,YS-N24/54-5200093/2017,ADITA,35003,,,,,,,54,A,,N24,PROMITA
