reg_no,admission,admn_recpt,inst_1_due,inst_1_dt,i_1_recpt,inst_2_due,inst_2_dt,i_2_recpt,inst_3_due,inst_3_dt,i_3_recpt,inst_4_due,inst_4_dt,i_4_recpt,inst_5_due,inst_5_dt,i_5_recpt,inst_6_due,inst_6_dt,i_6_recpt,inst_7_due,inst_7_dt,i_7_recpt,inst_8_due,inst_8_dt,i_8_recpt,session,ses_half,Centre_Id,sem_payabl,sem_paypart,USER
YS-N24/60-5600051/2019,07/01/2019,1.0,11/02/2019,05/02/2019,123.0,11/03/2019,05/03/2019,313.0,10/04/2019,02/04/2019,765.0,10/05/2019,07/05/2019,1469.0,10/06/2019,11/06/2019,2094.0,,,,,,,,,,60,A,N24,3000.0,500.0,saheli
YS-N24/60-5600193/2019,07/01/2019,2.0,11/02/2019,05/02/2019,124.0,11/03/2019,05/03/2019,316.0,10/04/2019,06/04/2019,906.0,10/05/2019,07/05/2019,1471.0,10/06/2019,04/06/2019,1905.0,,,,,,,,,,60,A,N24,3000.0,500.0,saheli
YS-N24/60-5600418/2019,07/01/2019,3.0,11/02/2019,08/02/2019,158.0,11/03/2019,15/03/2019,427.0,10/04/2019,04/04/2019,830.0,10/05/2019,07/05/2019,1468.0,10/06/2019,04/06/2019,1906.0,,,,,,,,,,60,A,N24,3000.0,500.0,saheli
YS-N24/60-5600136/2019,07/01/2019,4.0,11/02/2019,01/02/2019,106.0,11/03/2019,05/03/2019,315.0,10/04/2019,03/04/2019,809.0,10/05/2019,11/05/2019,1689.0,10/06/2019,04/06/2019,1907.0,,,,,,,,,,60,A,N24,3000.0,500.0,saheli
YS-N24/60-5600134/2019,07/01/2019,5.0,11/02/2019,22/02/2019,250.0,11/03/2019,23/03/2019,577.0,10/04/2019,20/04/2019,1271.0,10/05/2019,14/05/2019,1762.0,10/06/2019,27/06/2019,2289.0,,,,,,,,,,60,A,N24,3000.0,500.0,saheli
YS-N24/60-5600157/2019,07/01/2019,6.0,11/02/2019,07/02/2019,153.0,11/03/2019,04/03/2019,307.0,10/04/2019,03/04/2019,810.0,10/05/2019,11/05/2019,1688.0,10/06/2019,,,,,,,,,,,,60,A,N24,3000.0,500.0,saheli
YS-N24/60-5600391/2019,07/01/2019,7.0,11/02/2019,04/02/2019,118.0,11/03/2019,04/03/2019,305.0,10/04/2019,06/04/2019,912.0,10/05/2019,11/05/2019,1694.0,10/06/2019,15/06/2019,2197.0,,,,,,,,,,60,A,N24,3000.0,500.0,PROMITA
YS-N24/60-5600368/2019,07/01/2019,8.0,11/02/2019,11/02/2019,183.0,11/03/2019,04/03/2019,308.0,10/04/2019,06/04/2019,913.0,10/05/2019,11/05/2019,1693.0,10/06/2019,22/06/2019,2277.0,,,,,,,,,,60,A,N24,3000.0,500.0,PROMITA
YS-N24/60-5600392/2019,07/01/2019,9.0,11/02/2019,04/02/2019,117.0,11/03/2019,04/03/2019,306.0,10/04/2019,09/04/2019,993.0,10/05/2019,07/05/2019,1478.0,10/06/2019,01/06/2019,1871.0,,,,,,,,,,60,A,N24,3000.0,500.0,saheli
YS-N24/60-5600058/2019,07/01/2019,10.0,11/02/2019,21/02/2019,247.0,11/03/2019,14/03/2019,423.0,10/04/2019,20/04/2019,1274.0,10/05/2019,,,10/06/2019,,,,,,,,,,,,60,A,N24,3000.0,500.0,saheli
YS-N24/60-5600350/2019,07/01/2019,11.0,11/02/2019,07/02/2019,155.0,11/03/2019,07/03/2019,350.0,10/04/2019,10/04/2019,1047.0,10/05/2019,11/05/2019,1692.0,10/06/2019,04/07/2019,2308.0,,,,,,,,,,60,A,N24,3000.0,500.0,PROMITA
YS-N24/60-5800014/2019,07/01/2019,12.0,11/02/2019,05/02/2019,126.0,11/03/2019,08/03/2019,361.0,10/04/2019,09/04/2019,994.0,10/05/2019,14/05/2019,1769.0,10/06/2019,07/06/2019,1978.0,,,,,,,,,,60,A,N24,3000.0,500.0,saheli
YS-N24/60-5800008/2019,07/01/2019,13.0,11/02/2019,08/02/2019,161.0,11/03/2019,19/03/2019,497.0,10/04/2019,23/04/2019,1300.0,10/05/2019,10/05/2019,1640.0,10/06/2019,09/07/2019,2324.0,,,,,,,,,,60,A,N24,3000.0,500.0,saheli
YS-N24/60-5800046/2019,07/01/2019,14.0,11/02/2019,08/02/2019,160.0,11/03/2019,05/03/2019,318.0,10/04/2019,05/04/2019,886.0,10/05/2019,08/05/2019,1522.0,10/06/2019,04/06/2019,1911.0,,,,,,,,,,60,A,N24,3000.0,500.0,saheli
YS-N24/60-5800006/2019,07/01/2019,15.0,11/02/2019,11/02/2019,185.0,11/03/2019,11/03/2019,388.0,10/04/2019,11/03/2019,388.0,10/05/2019,11/04/2019,1123.0,10/06/2019,11/04/2019,1123.0,,,,,,,,,,60,A,N24,3000.0,500.0,saheli
YS-N24/60-5800080/2019,07/01/2019,16.0,11/02/2019,14/02/2019,210.0,11/03/2019,07/03/2019,353.0,10/04/2019,04/04/2019,861.0,10/05/2019,06/05/2019,1458.0,10/06/2019,13/06/2019,2165.0,,,,,,,,,,60,A,N24,3000.0,500.0,saheli
YS-N24/60-5800043/2019,07/01/2019,17.0,11/02/2019,11/02/2019,184.0,11/03/2019,04/03/2019,311.0,10/04/2019,01/04/2019,748.0,10/05/2019,06/05/2019,1459.0,10/06/2019,03/06/2019,1902.0,,,,,,,,,,60,A,N24,3000.0,500.0,PROMITA
YS-N24/60-5800070/2019,07/01/2019,18.0,11/02/2019,14/02/2019,207.0,11/03/2019,11/03/2019,387.0,10/04/2019,18/04/2019,1258.0,10/05/2019,13/05/2019,1755.0,10/06/2019,10/06/2019,2092.0,,,,,,,,,,60,A,N24,3000.0,500.0,PROMITA
YS-N24/60-5800005/2019,07/01/2019,19.0,11/02/2019,04/02/2019,119.0,11/03/2019,04/03/2019,310.0,10/04/2019,11/04/2019,1140.0,10/05/2019,09/05/2019,1602.0,10/06/2019,03/06/2019,1900.0,,,,,,,,,,60,A,N24,3000.0,500.0,saheli
YS-N24/60-5800060/2019,07/01/2019,20.0,11/02/2019,04/02/2019,120.0,11/03/2019,22/03/2019,559.0,10/04/2019,01/04/2019,733.0,10/05/2019,02/05/2019,1406.0,10/06/2019,03/06/2019,1898.0,,,,,,,,,,60,A,N24,3000.0,500.0,saheli
YS-N24/60-5800061/2019,07/01/2019,21.0,11/02/2019,04/02/2019,121.0,11/03/2019,22/03/2019,558.0,10/04/2019,01/04/2019,732.0,10/05/2019,02/05/2019,1405.0,10/06/2019,03/06/2019,1899.0,,,,,,,,,,60,A,N24,3000.0,500.0,saheli
YS-N24/60-5800088/2019,07/01/2019,22.0,11/02/2019,07/02/2019,156.0,11/03/2019,11/03/2019,391.0,10/04/2019,08/04/2019,978.0,10/05/2019,13/05/2019,1756.0,10/06/2019,10/06/2019,2089.0,,,,,,,,,,60,A,N24,3000.0,500.0,PROMITA
YS-N24/60-5600265/2019,08/01/2019,23.0,11/02/2019,12/02/2019,192.0,11/03/2019,12/03/2019,399.0,10/04/2019,20/04/2019,1270.0,10/05/2019,14/05/2019,1761.0,10/06/2019,18/06/2019,2236.0,,,,,,,,,,60,A,N24,3000.0,500.0,saheli
YS-N24/60-5600155/2019,08/01/2019,24.0,11/02/2019,12/02/2019,194.0,11/03/2019,05/03/2019,314.0,10/04/2019,23/04/2019,1293.0,10/05/2019,07/05/2019,1470.0,10/06/2019,11/06/2019,2102.0,,,,,,,,,,60,A,N24,3000.0,500.0,saheli
YS-N24/60-5800010/2019,08/01/2019,25.0,11/02/2019,08/02/2019,162.0,11/03/2019,15/03/2019,432.0,10/04/2019,05/04/2019,875.0,10/05/2019,20/05/2019,1827.0,10/06/2019,09/07/2019,2325.0,,,,,,,,,,60,A,N24,3000.0,500.0,saheli
YS-N24/60-5600154/2019,08/01/2019,26.0,11/02/2019,14/01/2019,78.0,11/03/2019,06/02/2019,135.0,10/04/2019,04/04/2019,863.0,10/05/2019,02/05/2019,1404.0,10/06/2019,03/06/2019,1895.0,,,,,,,,,,60,A,N24,3000.0,500.0,saheli
YS-N24/60-5600334/2019,08/01/2019,27.0,11/02/2019,06/02/2019,136.0,11/03/2019,09/03/2019,373.0,10/04/2019,04/04/2019,862.0,10/05/2019,09/05/2019,1604.0,10/06/2019,10/06/2019,2076.0,,,,,,,,,,60,A,N24,3000.0,500.0,saheli
YS-N24/60-5600186/2019,08/01/2019,28.0,11/02/2019,13/03/2019,410.0,11/03/2019,19/03/2019,507.0,10/04/2019,12/04/2019,1150.0,10/05/2019,17/05/2019,1809.0,10/06/2019,06/06/2019,1941.0,,,,,,,,,,60,A,N24,3000.0,500.0,PROMITA
YS-N24/60-5600146/2019,08/01/2019,29.0,11/02/2019,15/02/2019,216.0,11/03/2019,08/03/2019,358.0,10/04/2019,01/04/2019,731.0,10/05/2019,02/05/2019,1408.0,10/06/2019,07/06/2019,1981.0,,,,,,,,,,60,A,N24,3000.0,500.0,saheli
YS-N24/60-5600234/2019,08/01/2019,30.0,11/02/2019,08/02/2019,159.0,11/03/2019,05/03/2019,317.0,10/04/2019,08/04/2019,951.0,10/05/2019,09/05/2019,1589.0,10/06/2019,03/06/2019,1897.0,,,,,,,,,,60,A,N24,3000.0,500.0,saheli
YS-N24/60-5600308/2019,08/01/2019,31.0,11/02/2019,05/02/2019,125.0,11/03/2019,05/03/2019,319.0,10/04/2019,08/04/2019,952.0,10/05/2019,06/05/2019,1455.0,10/06/2019,03/06/2019,1894.0,,,,,,,,,,60,A,N24,3000.0,500.0,PROMITA
YS-N24/60-5600185/2019,08/01/2019,32.0,11/02/2019,13/02/2019,201.0,11/03/2019,13/03/2019,409.0,10/04/2019,12/04/2019,1151.0,10/05/2019,17/05/2019,1810.0,10/06/2019,06/06/2019,1943.0,,,,,,,,,,60,A,N24,3000.0,500.0,PROMITA
YS-N24/60-5600187/2019,08/01/2019,33.0,11/02/2019,18/01/2019,85.0,11/03/2019,06/03/2019,326.0,10/04/2019,12/04/2019,1149.0,10/05/2019,17/05/2019,1808.0,10/06/2019,06/06/2019,1942.0,,,,,,,,,,60,A,N24,3000.0,500.0,PROMITA
YS-N24/60-5800075/2019,08/01/2019,34.0,11/02/2019,07/02/2019,154.0,11/03/2019,14/03/2019,420.0,10/04/2019,05/04/2019,896.0,10/05/2019,13/06/2019,2161.0,10/06/2019,13/06/2019,2161.0,,,,,,,,,,60,A,N24,3000.0,500.0,PROMITA
YS-N24/60-5800072/2019,08/01/2019,35.0,11/02/2019,14/02/2019,205.0,11/03/2019,02/05/2019,1394.0,10/04/2019,02/05/2019,1394.0,10/05/2019,30/05/2019,1859.0,10/06/2019,25/06/2019,2283.0,,,,,,,,,,60,A,N24,3000.0,500.0,saheli
YS-N24/60-5800047/2019,08/01/2019,36.0,11/02/2019,21/02/2019,245.0,11/03/2019,07/03/2019,337.0,10/04/2019,08/04/2019,943.0,10/05/2019,06/05/2019,1447.0,10/06/2019,10/06/2019,2055.0,,,,,,,,,,60,A,N24,3000.0,500.0,saheli
YS-N24/60-5800015/2019,08/01/2019,37.0,11/02/2019,07/02/2019,143.0,11/03/2019,07/02/2019,143.0,10/04/2019,07/02/2019,143.0,10/05/2019,07/02/2019,143.0,10/06/2019,07/02/2019,143.0,,,,,,,,,,60,A,N24,3000.0,500.0,saheli
YS-N24/60-5800091/2019,08/01/2019,38.0,11/02/2019,07/02/2019,148.0,11/03/2019,18/03/2019,455.0,10/04/2019,08/04/2019,934.0,10/05/2019,13/05/2019,1729.0,10/06/2019,13/06/2019,2151.0,,,,,,,,,,60,A,N24,3000.0,500.0,saheli
YS-N24/60-5800094/2019,08/01/2019,39.0,11/02/2019,07/02/2019,145.0,11/03/2019,04/03/2019,302.0,10/04/2019,04/04/2019,851.0,10/05/2019,06/05/2019,1432.0,10/06/2019,03/06/2019,1888.0,,,,,,,,,,60,A,N24,3000.0,500.0,saheli
YS-N24/60-5800095/2019,08/01/2019,40.0,11/02/2019,07/02/2019,146.0,11/03/2019,04/03/2019,301.0,10/04/2019,04/04/2019,853.0,10/05/2019,06/05/2019,1437.0,10/06/2019,06/06/2019,1932.0,,,,,,,,,,60,A,N24,3000.0,500.0,saheli
YS-N24/60-5800020/2019,08/01/2019,41.0,11/02/2019,04/02/2019,116.0,11/03/2019,07/03/2019,339.0,10/04/2019,04/04/2019,847.0,10/05/2019,06/05/2019,1435.0,10/06/2019,10/06/2019,2054.0,,,,,,,,,,60,A,N24,3000.0,500.0,saheli
YS-N24/60-5800016/2019,08/01/2019,42.0,11/02/2019,07/02/2019,149.0,11/03/2019,07/03/2019,338.0,10/04/2019,04/04/2019,852.0,10/05/2019,02/05/2019,1391.0,10/06/2019,06/06/2019,1930.0,,,,,,,,,,60,A,N24,3000.0,500.0,saheli
YS-N24/60-5800042/2019,08/01/2019,43.0,11/02/2019,28/02/2019,276.0,11/03/2019,07/03/2019,335.0,10/04/2019,08/04/2019,935.0,10/05/2019,09/05/2019,1573.0,10/06/2019,13/06/2019,2154.0,,,,,,,,,,60,A,N24,3000.0,500.0,saheli
YS-N24/60-5800026/2019,08/01/2019,44.0,11/02/2019,21/02/2019,244.0,11/03/2019,07/03/2019,343.0,10/04/2019,04/04/2019,849.0,10/05/2019,09/05/2019,1575.0,10/06/2019,22/06/2019,2274.0,,,,,,,,,,60,A,N24,3000.0,500.0,PROMITA
