reg_no,admission,admn_recpt,inst_1_due,inst_1_dt,i_1_recpt,inst_2_due,inst_2_dt,i_2_recpt,inst_3_due,inst_3_dt,i_3_recpt,inst_4_due,inst_4_dt,i_4_recpt,inst_5_due,inst_5_dt,i_5_recpt,inst_6_due,inst_6_dt,i_6_recpt,inst_7_due,inst_7_dt,i_7_recpt,inst_8_due,inst_8_dt,i_8_recpt,session,ses_half,Centre_Id,sem_payabl,sem_paypart,USER
YS-N24/54-5200113/2017,04/07/2017,1.0,10/08/2017,04/08/2017,172.0,11/09/2017,05/09/2017,456.0,10/10/2017,06/10/2017,689.0,10/11/2017,14/11/2017,1176.0,11/12/2017,01/12/2017,1250.0,,,,,,,,,,54,A,N24,3000.0,500.0,saheli
YS-N24/54-5200191/2017,04/07/2017,2.0,10/08/2017,04/08/2017,168.0,11/09/2017,05/09/2017,450.0,10/10/2017,06/10/2017,687.0,10/11/2017,07/11/2017,1024.0,11/12/2017,05/12/2017,1284.0,,,,,,,,,,54,A,N24,3000.0,500.0,saheli
YS-N24/54-5200104/2017,04/07/2017,3.0,10/08/2017,01/08/2017,135.0,11/09/2017,08/09/2017,510.0,10/10/2017,13/10/2017,845.0,10/11/2017,07/11/2017,1030.0,11/12/2017,08/12/2017,1350.0,,,,,,,,,,54,A,N24,3000.0,500.0,saheli
YS-N24/54-5200105/2017,04/07/2017,4.0,10/08/2017,04/08/2017,171.0,11/09/2017,08/09/2017,511.0,10/10/2017,10/10/2017,759.0,10/11/2017,07/11/2017,1031.0,11/12/2017,05/12/2017,1286.0,,,,,,,,,,54,A,N24,3000.0,500.0,saheli
YS-N24/54-5200174/2017,04/07/2017,5.0,10/08/2017,08/08/2017,212.0,11/09/2017,05/09/2017,455.0,10/10/2017,10/10/2017,764.0,10/11/2017,13/11/2017,1164.0,11/12/2017,08/12/2017,1362.0,,,,,,,,,,54,A,N24,3000.0,500.0,saheli
YS-N24/54-5200242/2017,04/07/2017,6.0,10/08/2017,04/08/2017,187.0,11/09/2017,05/09/2017,465.0,10/10/2017,09/10/2017,755.0,10/11/2017,04/11/2017,981.0,11/12/2017,07/12/2017,1340.0,,,,,,,,,,54,A,N24,3000.0,500.0,PROMITA
YS-N24/54-5200117/2017,05/07/2017,7.0,10/08/2017,09/08/2017,248.0,11/09/2017,06/09/2017,469.0,10/10/2017,07/10/2017,719.0,10/11/2017,08/11/2017,1068.0,11/12/2017,02/12/2017,1255.0,,,,,,,,,,54,A,N24,3000.0,500.0,saheli
YS-N24/54-5200118/2017,05/07/2017,8.0,10/08/2017,05/08/2017,188.0,11/09/2017,09/09/2017,539.0,10/10/2017,07/10/2017,718.0,10/11/2017,08/11/2017,1066.0,11/12/2017,06/12/2017,1304.0,,,,,,,,,,54,A,N24,3000.0,500.0,saheli
YS-N24/54-5200205/2017,05/07/2017,9.0,10/08/2017,02/08/2017,145.0,11/09/2017,05/09/2017,459.0,10/10/2017,11/10/2017,794.0,10/11/2017,08/11/2017,1054.0,11/12/2017,02/12/2017,1254.0,,,,,,,,,,54,A,N24,3000.0,500.0,saheli
YS-N24/54-5000018/2017,05/07/2017,10.0,10/08/2017,08/08/2017,216.0,11/09/2017,05/09/2017,458.0,10/10/2017,12/10/2017,821.0,10/11/2017,02/11/2017,971.0,11/12/2017,04/12/2017,1267.0,,,,,,,,,,54,A,N24,3000.0,500.0,saheli
YS-N24/54-5200315/2017,05/07/2017,11.0,10/08/2017,09/08/2017,247.0,11/09/2017,06/09/2017,471.0,10/10/2017,07/10/2017,717.0,10/11/2017,08/11/2017,1056.0,11/12/2017,06/12/2017,1308.0,,,,,,,,,,54,A,N24,3000.0,500.0,saheli
YS-N24/54-5200230/2017,05/07/2017,12.0,10/08/2017,09/08/2017,250.0,11/09/2017,15/09/2017,621.0,10/10/2017,07/10/2017,714.0,10/11/2017,08/11/2017,1069.0,11/12/2017,09/12/2017,1375.0,,,,,,,,,,54,A,N24,3000.0,500.0,saheli
YS-N24/54-5200233/2017,05/07/2017,13.0,10/08/2017,05/08/2017,191.0,11/09/2017,13/09/2017,591.0,10/10/2017,11/10/2017,796.0,10/11/2017,08/11/2017,1072.0,11/12/2017,06/12/2017,1309.0,,,,,,,,,,54,A,N24,3000.0,500.0,saheli
YS-N24/54-5200232/2017,05/07/2017,14.0,10/08/2017,09/08/2017,243.0,11/09/2017,06/09/2017,468.0,10/10/2017,07/10/2017,713.0,10/11/2017,08/11/2017,1071.0,11/12/2017,06/12/2017,1307.0,,,,,,,,,,54,A,N24,3000.0,500.0,saheli
YS-N24/54-5200332/2017,05/07/2017,15.0,10/08/2017,07/10/2017,730.0,11/09/2017,,,10/10/2017,,,10/11/2017,,,11/12/2017,,,,,,,,,,,,54,A,N24,3000.0,500.0,saheli
YS-N24/54-5200270/2017,05/07/2017,16.0,10/08/2017,09/08/2017,246.0,11/09/2017,06/09/2017,470.0,10/10/2017,07/10/2017,720.0,10/11/2017,11/11/2017,1141.0,11/12/2017,09/12/2017,1372.0,,,,,,,,,,54,A,N24,3000.0,500.0,saheli
YS-N24/54-5000079/2017,05/07/2017,17.0,10/08/2017,01/08/2017,136.0,11/09/2017,01/09/2017,431.0,10/10/2017,06/10/2017,702.0,10/11/2017,06/11/2017,1013.0,11/12/2017,05/12/2017,1300.0,,,,,,,,,,54,A,N24,3000.0,500.0,saheli
YS-N24/54-5200137/2017,06/07/2017,18.0,10/08/2017,02/08/2017,144.0,11/09/2017,06/09/2017,467.0,10/10/2017,10/10/2017,785.0,10/11/2017,06/11/2017,1023.0,11/12/2017,07/12/2017,1335.0,,,,,,,,,,54,A,N24,3000.0,500.0,PROMITA
YS-N24/54-5200298/2017,06/07/2017,19.0,10/08/2017,10/08/2017,271.0,11/09/2017,,,10/10/2017,,,10/11/2017,,,11/12/2017,,,,,,,,,,,,54,A,N24,3200.0,500.0,PROMITA
YS-N24/54-5200002/2017,06/07/2017,20.0,10/08/2017,07/08/2017,208.0,11/09/2017,,,10/10/2017,,,10/11/2017,,,11/12/2017,,,,,,,,,,,,54,A,N24,3200.0,500.0,saheli
YS-N24/54-5200187/2017,06/07/2017,21.0,10/08/2017,09/08/2017,241.0,11/09/2017,08/09/2017,519.0,10/10/2017,12/10/2017,837.0,10/11/2017,08/11/2017,1057.0,11/12/2017,12/12/2017,1404.0,,,,,,,,,,54,A,N24,3000.0,500.0,saheli
YS-N24/54-5200101/2017,06/07/2017,22.0,10/08/2017,07/08/2017,203.0,11/09/2017,12/09/2017,576.0,10/10/2017,07/10/2017,731.0,10/11/2017,04/11/2017,990.0,11/12/2017,04/12/2017,1283.0,,,,,,,,,,54,A,N24,3000.0,500.0,PROMITA
YS-N24/54-5200271/2017,06/07/2017,23.0,10/08/2017,03/08/2017,167.0,11/09/2017,,,10/10/2017,,,10/11/2017,,,11/12/2017,,,,,,,,,,,,54,A,N24,3000.0,500.0,saheli
YS-N24/54-5200272/2017,06/07/2017,24.0,10/08/2017,03/08/2017,165.0,11/09/2017,06/09/2017,491.0,10/10/2017,,,10/11/2017,,,11/12/2017,,,,,,,,,,,,54,A,N24,3000.0,500.0,PROMITA
YS-N24/54-5200155/2017,07/07/2017,25.0,10/08/2017,09/08/2017,240.0,11/09/2017,08/09/2017,508.0,10/10/2017,10/10/2017,782.0,10/11/2017,07/11/2017,1048.0,11/12/2017,05/12/2017,1298.0,,,,,,,,,,54,A,N24,3000.0,500.0,saheli
YS-N24/54-5200173/2017,07/07/2017,26.0,10/08/2017,11/08/2017,287.0,11/09/2017,11/09/2017,563.0,10/10/2017,13/10/2017,849.0,10/11/2017,21/11/2017,1227.0,11/12/2017,19/12/2017,1454.0,,,,,,,,,,54,A,N24,3000.0,500.0,saheli
YS-N24/54-5200183/2017,07/07/2017,27.0,10/08/2017,01/08/2017,134.0,11/09/2017,08/09/2017,530.0,10/10/2017,24/10/2017,924.0,10/11/2017,10/11/2017,1125.0,11/12/2017,12/12/2017,1403.0,,,,,,,,,,54,A,N24,3000.0,500.0,saheli
YS-N24/54-5200106/2017,07/07/2017,28.0,10/08/2017,11/08/2017,283.0,11/09/2017,08/09/2017,512.0,10/10/2017,13/10/2017,847.0,10/11/2017,17/11/2017,1204.0,11/12/2017,15/12/2017,1429.0,,,,,,,,,,54,A,N24,3000.0,500.0,saheli
YS-N24/54-5200201/2017,07/07/2017,29.0,10/08/2017,07/07/2017,30.0,11/09/2017,07/07/2017,30.0,10/10/2017,07/07/2017,30.0,10/11/2017,07/07/2017,30.0,11/12/2017,07/07/2017,30.0,,,,,,,,,,54,A,N24,3000.0,500.0,saheli
YS-N24/54-5200010/2017,07/07/2017,31.0,10/08/2017,08/08/2017,215.0,11/09/2017,,,10/10/2017,,,10/11/2017,,,11/12/2017,,,,,,,,,,,,54,A,N24,3000.0,500.0,saheli
YS-N24/54-5200150/2017,07/07/2017,32.0,10/08/2017,11/08/2017,286.0,11/09/2017,08/09/2017,509.0,10/10/2017,13/10/2017,846.0,10/11/2017,14/11/2017,1174.0,11/12/2017,15/12/2017,1428.0,,,,,,,,,,54,A,N24,3000.0,500.0,saheli
YS-N24/54-5200221/2017,07/07/2017,33.0,10/08/2017,05/09/2017,457.0,11/09/2017,22/09/2017,672.0,10/10/2017,10/11/2017,1110.0,10/11/2017,15/11/2017,1200.0,11/12/2017,18/12/2017,1452.0,,,,,,,,,,54,A,N24,3000.0,500.0,PROMITA
YS-N24/54-5200114/2017,07/07/2017,34.0,10/08/2017,08/08/2017,220.0,11/09/2017,15/09/2017,620.0,10/10/2017,13/10/2017,852.0,10/11/2017,17/11/2017,1207.0,11/12/2017,08/12/2017,1352.0,,,,,,,,,,54,A,N24,3000.0,500.0,saheli
