reg_no,admission,admn_recpt,inst_1_due,inst_1_dt,i_1_recpt,inst_2_due,inst_2_dt,i_2_recpt,inst_3_due,inst_3_dt,i_3_recpt,inst_4_due,inst_4_dt,i_4_recpt,inst_5_due,inst_5_dt,i_5_recpt,inst_6_due,inst_6_dt,i_6_recpt,inst_7_due,inst_7_dt,i_7_recpt,inst_8_due,inst_8_dt,i_8_recpt,session,ses_half,Centre_Id,sem_payabl,sem_paypart,USER
YS-N24/42-4200001/2014,04/08/2014,13.0,15/10/2014,12/11/2014,1373.0,10/11/2014,12/11/2014,1373.0,10/12/2014,09/12/2014,1726.0,10/01/2015,09/01/2015,2096.0,,,,,,,,,,,,,42,A,N24,2000.0,350.0,saheli
YS-N24/42-4200002/2014,04/08/2014,14.0,15/10/2014,10/10/2014,792.0,10/11/2014,07/11/2014,1208.0,10/12/2014,16/12/2014,1844.0,10/01/2015,13/01/2015,2161.0,,,,,,,,,,,,,42,A,N24,2000.0,350.0,saheli
YS-N24/42-4000419/2014,04/08/2014,15.0,10/09/2014,10/09/2014,537.0,15/10/2014,13/10/2014,889.0,10/11/2014,06/11/2014,1170.0,10/12/2014,15/12/2014,1832.0,10/01/2015,10/01/2015,2146.0,,,,,,,,,,42,A,N24,3000.0,500.0,PROMITA
YS-N24/42-4000387/2014,04/08/2014,16.0,10/09/2014,12/09/2014,573.0,15/10/2014,16/10/2014,995.0,10/11/2014,15/11/2014,1440.0,10/12/2014,26/12/2014,1916.0,10/01/2015,05/02/2015,2291.0,,,,,,,,,,42,A,N24,3000.0,500.0,saheli
YS-N24/42-4000261/2014,04/08/2014,18.0,10/09/2014,08/09/2014,449.0,15/10/2014,09/10/2014,726.0,10/11/2014,10/11/2014,1289.0,10/12/2014,08/12/2014,1643.0,10/01/2015,08/01/2015,2021.0,,,,,,,,,,42,A,N24,3000.0,500.0,saheli
YS-N24/42-4000186/2014,04/08/2014,19.0,10/09/2014,08/09/2014,472.0,15/10/2014,13/10/2014,887.0,10/11/2014,06/11/2014,1167.0,10/12/2014,05/12/2014,1593.0,10/01/2015,08/01/2015,2022.0,,,,,,,,,,42,A,N24,3000.0,500.0,saheli
YS-N24/42-4000498/2014,04/08/2014,20.0,10/09/2014,04/08/2014,21.0,15/10/2014,04/08/2014,21.0,10/11/2014,04/08/2014,21.0,10/12/2014,04/08/2014,21.0,10/01/2015,04/08/2014,21.0,,,,,,,,,,42,A,N24,3000.0,500.0,PROMITA
YS-N24/42-3800027/2014,04/08/2014,22.0,10/09/2014,08/09/2014,447.0,15/10/2014,,,10/11/2014,,,10/12/2014,,,10/01/2015,,,,,,,,,,,,42,A,N24,3000.0,500.0,saheli
YS-N24/42-4000340/2014,04/08/2014,23.0,10/09/2014,08/09/2014,470.0,15/10/2014,18/10/2014,1025.0,10/11/2014,12/11/2014,1364.0,10/12/2014,03/12/2014,1546.0,10/01/2015,07/01/2015,1989.0,,,,,,,,,,42,A,N24,3000.0,500.0,saheli
YS-N24/42-4000355/2014,04/08/2014,24.0,10/09/2014,08/09/2014,464.0,15/10/2014,16/10/2014,993.0,10/11/2014,13/11/2014,1403.0,10/12/2014,15/12/2014,1833.0,10/01/2015,15/01/2015,2205.0,,,,,,,,,,42,A,N24,3000.0,500.0,saheli
YS-N24/42-4000343/2014,04/08/2014,25.0,10/09/2014,08/09/2014,465.0,15/10/2014,,,10/11/2014,,,10/12/2014,,,10/01/2015,,,,,,,,,,,,42,A,N24,3000.0,500.0,saheli
YS-N24/42-4000107/2014,04/08/2014,26.0,10/09/2014,09/09/2014,516.0,15/10/2014,17/10/2014,1005.0,10/11/2014,07/11/2014,1230.0,10/12/2014,13/12/2014,1821.0,10/01/2015,14/01/2015,2184.0,,,,,,,,,,42,A,N24,3000.0,500.0,PROMITA
YS-N24/42-4000108/2014,04/08/2014,27.0,10/09/2014,09/09/2014,517.0,15/10/2014,14/10/2014,960.0,10/11/2014,07/11/2014,1231.0,10/12/2014,13/12/2014,1820.0,10/01/2015,10/01/2015,2157.0,,,,,,,,,,42,A,N24,3000.0,500.0,PROMITA
YS-N24/42-4000127/2014,05/08/2014,28.0,10/09/2014,,,15/10/2014,,,10/11/2014,,,10/12/2014,,,10/01/2015,,,,,,,,,,,,42,A,N24,3000.0,500.0,
YS-N24/42-4000379/2014,05/08/2014,29.0,10/09/2014,09/09/2014,489.0,15/10/2014,17/10/2014,1001.0,10/11/2014,11/11/2014,1333.0,10/12/2014,09/12/2014,1687.0,10/01/2015,09/01/2015,2063.0,,,,,,,,,,42,A,N24,3000.0,500.0,saheli
YS-N24/42-4000395/2014,05/08/2014,30.0,10/09/2014,13/10/2014,922.0,15/10/2014,15/10/2014,967.0,10/11/2014,31/01/2015,2275.0,10/12/2014,31/01/2015,2275.0,10/01/2015,25/02/2015,2332.0,,,,,,,,,,42,A,N24,3000.0,500.0,saheli
YS-N24/42-4000391/2014,05/08/2014,31.0,10/09/2014,18/10/2014,1014.0,15/10/2014,07/11/2014,1195.0,10/11/2014,07/11/2014,1195.0,10/12/2014,,,10/01/2015,,,,,,,,,,,,42,A,N24,3000.0,500.0,saheli
YS-N24/42-4000408/2014,05/08/2014,32.0,10/09/2014,09/09/2014,495.0,15/10/2014,21/10/2014,1049.0,10/11/2014,10/11/2014,1306.0,10/12/2014,10/12/2014,1768.0,10/01/2015,10/01/2015,2118.0,,,,,,,,,,42,A,N24,3000.0,500.0,saheli
YS-N24/42-4000400/2014,05/08/2014,33.0,10/09/2014,,,15/10/2014,,,10/11/2014,,,10/12/2014,,,10/01/2015,,,,,,,,,,,,42,A,N24,3000.0,500.0,
YS-N24/42-4000193/2014,05/08/2014,34.0,10/09/2014,04/09/2014,413.0,15/10/2014,08/10/2014,709.0,10/11/2014,05/11/2014,1148.0,10/12/2014,03/12/2014,1547.0,10/01/2015,03/01/2015,1933.0,,,,,,,,,,42,A,N24,3000.0,500.0,saheli
YS-N24/42-4000218/2014,05/08/2014,35.0,10/09/2014,11/09/2014,565.0,15/10/2014,14/10/2014,938.0,10/11/2014,07/11/2014,1199.0,10/12/2014,09/12/2014,1686.0,10/01/2015,10/01/2015,2119.0,,,,,,,,,,42,A,N24,3000.0,500.0,saheli
YS-N24/42-4000441/2014,05/08/2014,36.0,10/09/2014,08/09/2014,456.0,15/10/2014,09/10/2014,742.0,10/11/2014,08/11/2014,1249.0,10/12/2014,10/12/2014,1751.0,10/01/2015,10/01/2015,2126.0,,,,,,,,,,42,A,N24,3000.0,500.0,PROMITA
YS-N24/42-4000417/2014,05/08/2014,37.0,10/09/2014,29/10/2014,1084.0,15/10/2014,29/10/2014,1084.0,10/11/2014,25/11/2014,1515.0,10/12/2014,12/12/2014,1804.0,10/01/2015,09/01/2015,2113.0,,,,,,,,,,42,A,N24,3000.0,500.0,PROMITA
YS-N24/42-4000423/2014,05/08/2014,38.0,10/09/2014,29/10/2014,1083.0,15/10/2014,29/10/2014,1083.0,10/11/2014,21/11/2014,1501.0,10/12/2014,12/12/2014,1803.0,10/01/2015,09/01/2015,2114.0,,,,,,,,,,42,A,N24,3000.0,500.0,PROMITA
YS-N24/42-4000459/2014,05/08/2014,39.0,10/09/2014,10/09/2014,536.0,15/10/2014,10/10/2014,838.0,10/11/2014,15/11/2014,1451.0,10/12/2014,06/12/2014,1616.0,10/01/2015,10/01/2015,2141.0,,,,,,,,,,42,A,N24,3000.0,500.0,PROMITA
YS-N24/42-4000449/2014,05/08/2014,40.0,10/09/2014,09/09/2014,515.0,15/10/2014,28/10/2014,1080.0,10/11/2014,17/11/2014,1465.0,10/12/2014,12/12/2014,1806.0,10/01/2015,09/01/2015,2108.0,,,,,,,,,,42,A,N24,3000.0,500.0,PROMITA
YS-N24/42-4000302/2014,05/08/2014,41.0,10/09/2014,08/09/2014,471.0,15/10/2014,09/10/2014,747.0,10/11/2014,03/11/2014,1137.0,10/12/2014,08/12/2014,1657.0,10/01/2015,05/01/2015,1952.0,,,,,,,,,,42,A,N24,3000.0,500.0,PROMITA
YS-N24/42-4000460/2014,05/08/2014,42.0,10/09/2014,08/09/2014,457.0,15/10/2014,11/10/2014,858.0,10/11/2014,08/11/2014,1247.0,10/12/2014,06/12/2014,1605.0,10/01/2015,07/01/2015,1997.0,,,,,,,,,,42,A,N24,3000.0,500.0,saheli
YS-N24/42-4000311/2014,05/08/2014,43.0,10/09/2014,08/09/2014,461.0,15/10/2014,11/10/2014,860.0,10/11/2014,08/11/2014,1250.0,10/12/2014,13/12/2014,1811.0,10/01/2015,10/01/2015,2123.0,,,,,,,,,,42,A,N24,3000.0,500.0,saheli
YS-N24/42-4000118/2014,05/08/2014,44.0,10/09/2014,27/09/2014,697.0,15/10/2014,,,10/11/2014,,,10/12/2014,,,10/01/2015,,,,,,,,,,,,42,A,N24,3000.0,500.0,saheli
YS-N24/42-4000414/2014,05/08/2014,45.0,10/09/2014,12/09/2014,586.0,15/10/2014,10/10/2014,826.0,10/11/2014,11/11/2014,1356.0,10/12/2014,09/12/2014,1732.0,10/01/2015,09/01/2015,2109.0,,,,,,,,,,42,A,N24,3000.0,500.0,PROMITA
