reg_no,batch_code,p1s1,p2s1,p3s1,ts1,as1,gs1,p1s2,p2s2,ts2,as2,gs2,p1s3,p2s3,ts3,as3,gs3,tot,avg,grade,centre,pre_reg_no,session,certi_no,certi_date,trans_no,trans_date,USER,Remarks,EXAM_APPEAR
YS-N24/10-1000001/2004,35,77.0,28.0,45.0,150.0,75.0,B+,87.0,79.0,166.0,83.0,0,0.0,0.0,0.0,0.0,,158.0,79.0,B+,N24,YS-N24/9-0316/2003,10,,,,,UNKNOWN,,
YS-N24/10-1000002/2004,35,70.0,31.0,44.0,145.0,73.0,B+,55.0,68.0,123.0,62.0,0,0.0,0.0,0.0,0.0,,135.0,68.0,B,N24,YS-N24/9-0371/2003,10,,,,,UNKNOWN,,
YS-N24/10-1000003/2004,35,58.0,24.0,42.0,124.0,62.0,B,53.0,63.0,116.0,58.0,0,0.0,0.0,0.0,0.0,,120.0,60.0,B,N24,YS-N24/9-0274/2003,10,,,,,UNKNOWN,,
YS-N24/10-1000004/2004,35,64.0,28.0,43.0,135.0,68.0,B,57.0,85.0,142.0,71.0,0,0.0,0.0,0.0,0.0,,139.0,70.0,B+,N24,YS-N24/9-0181/2003,10,,,,,UNKNOWN,,
YS-N24/10-1000005/2004,32,68.0,28.0,39.0,135.0,68.0,B,85.0,91.0,176.0,88.0,0,0.0,0.0,0.0,0.0,,156.0,78.0,B+,N24,YS-N24/9-0284/2003,10,5038,,,,UNKNOWN,,
YS-N24/10-1000006/2004,35,76.0,34.0,46.0,156.0,78.0,B+,88.0,79.0,167.0,84.0,0,0.0,0.0,0.0,0.0,,162.0,81.0,A,N24,YS-N24/9-0294/2003,10,5201,,,,UNKNOWN,,
YS-N24/10-1000007/2004,35,77.0,40.0,44.0,161.0,81.0,A,91.0,75.0,166.0,83.0,0,0.0,0.0,0.0,0.0,,164.0,82.0,A,N24,YS-N24/9-0178/2003,10,,,,,UNKNOWN,,
YS-N24/10-1000008/2004,33,75.0,42.0,48.0,165.0,83.0,A,86.0,67.0,153.0,77.0,0,0.0,0.0,0.0,0.0,,160.0,80.0,A,N24,YS-N24/9-0020/2003,10,,,,,UNKNOWN,,
YS-N24/10-1000009/2004,33,55.0,30.0,35.0,120.0,60.0,B,74.0,79.0,153.0,77.0,0,0.0,0.0,0.0,0.0,,137.0,69.0,B,N24,YS-N24/9-0023/2003,10,,,,,UNKNOWN,,
YS-N24/10-1000010/2004,32,55.0,30.0,35.0,120.0,60.0,B,47.0,97.0,144.0,72.0,0,0.0,0.0,0.0,0.0,,132.0,66.0,B,N24,YS-N24/9-0023/2003,10,,,,,UNKNOWN,,
