recpnopre,cnt_prefix,receiptno,recptdate,recpttime,amount,coursefees,admnfees,prospectus,batchchang,fine_amt,fine_days,instalment,reg_no,recpt_type,pay_mode,dd_no,dd_dt,draw_bank,remarks,lateral,centre_Id,session,ses_half,FrontLine,USER,Deleted,DD_NO_2
Prs,,1.0,01/08/2016,14:04,15.0,,,15.0,,,,,,P,CASH,,,,,,N24,50,A,,PROMITA,,
Prs,,2.0,01/08/2016,14:12,15.0,,,15.0,,,,,,P,CASH,,,,,,N24,50,A,,saheli,,
Prs,,3.0,02/08/2016,10:03,15.0,,,15.0,,,,,,P,CASH,,,,,,N24,50,A,,saheli,,
Prs,,4.0,02/08/2016,14:39,15.0,,,15.0,,,,,,P,CASH,,,,,,N24,50,A,,saheli,,
Prs,,5.0,02/08/2016,14:40,15.0,,,15.0,,,,,,P,CASH,,,,,,N24,50,A,,saheli,,
Prs,,6.0,02/08/2016,18:43,15.0,,,15.0,,,,,,P,CASH,,,,,,N24,50,A,,PROMITA,,
,,7.0,02/08/2016,18:45,500.0,400.0,100.0,,,,,A,YS-N24/50-5000001/2016,A,CASH,0.0,,,,,N24,50,A,,PROMITA,,
Prs,,8.0,03/08/2016,09:58,15.0,,,15.0,,,,,,P,CASH,,,,,,N24,50,A,,saheli,,
Prs,,9.0,03/08/2016,12:01,15.0,,,15.0,,,,,,P,CASH,,,,,,N24,50,A,,saheli,,
,,10.0,03/08/2016,15:57,500.0,500.0,0.0,,,,,A,YS-N24/50-4800003/2016,A,CASH,0.0,,,,,N24,50,A,,saheli,,
,,11.0,03/08/2016,16:08,500.0,500.0,0.0,,,,,A,YS-N24/50-4800359/2016,A,CASH,0.0,,,,,N24,50,A,,PROMITA,,
,,12.0,03/08/2016,16:35,500.0,500.0,0.0,,,,,A,YS-N24/50-4800304/2016,A,CASH,0.0,,,,,N24,50,A,,PROMITA,,
,,13.0,03/08/2016,16:36,500.0,500.0,0.0,,,,,A,YS-N24/50-4800014/2016,A,CASH,0.0,,,,,N24,50,A,,PROMITA,,
,,14.0,03/08/2016,16:37,500.0,500.0,0.0,,,,,A,YS-N24/50-4800491/2016,A,CASH,0.0,,,,,N24,50,A,,PROMITA,,
,,15.0,03/08/2016,16:37,2500.0,2500.0,,,,0.0,0.0,12345,YS-N24/50-4800491/2016,I,CASH,0.0,,,,,N24,50,A,,PROMITA,,
,,16.0,03/08/2016,16:53,500.0,500.0,0.0,,,,,A,YS-N24/50-4800347/2016,A,CASH,0.0,,,,,N24,50,A,,PROMITA,,
,,17.0,03/08/2016,16:53,500.0,500.0,0.0,,,,,A,YS-N24/50-4800332/2016,A,CASH,0.0,,,,,N24,50,A,,PROMITA,,
,,18.0,03/08/2016,17:56,500.0,500.0,0.0,,,,,A,YS-N24/50-4800131/2016,A,CASH,0.0,,,,,N24,50,A,,PROMITA,,
,,19.0,03/08/2016,18:04,500.0,500.0,0.0,,,,,A,YS-N24/50-4800225/2016,A,CASH,0.0,,,,,N24,50,A,,PROMITA,,
,,20.0,03/08/2016,18:04,500.0,500.0,0.0,,,,,A,YS-N24/50-4800224/2016,A,CASH,0.0,,,,,N24,50,A,,PROMITA,,
,,21.0,03/08/2016,18:10,500.0,500.0,0.0,,,,,A,YS-N24/50-4800221/2016,A,CASH,0.0,,,,,N24,50,A,,PROMITA,,
,,22.0,03/08/2016,18:11,500.0,500.0,0.0,,,,,A,YS-N24/50-4800222/2016,A,CASH,0.0,,,,,N24,50,A,,PROMITA,,
,,23.0,03/08/2016,18:11,500.0,500.0,0.0,,,,,A,YS-N24/50-4800303/2016,A,CASH,0.0,,,,,N24,50,A,,PROMITA,,
,,24.0,03/08/2016,18:13,500.0,500.0,0.0,,,,,A,YS-N24/50-4800273/2016,A,CASH,0.0,,,,,N24,50,A,,PROMITA,,
,,25.0,03/08/2016,18:15,500.0,500.0,0.0,,,,,A,YS-N24/50-4800298/2016,A,CASH,0.0,,,,,N24,50,A,,PROMITA,,
,,26.0,03/08/2016,18:18,500.0,500.0,0.0,,,,,A,YS-N24/50-4800195/2016,A,CASH,0.0,,,,,N24,50,A,,PROMITA,,
,,27.0,04/08/2016,08:17,500.0,500.0,0.0,,,,,A,YS-N24/50-4800513/2016,A,CASH,0.0,,,,,N24,50,A,,saheli,,
,,28.0,04/08/2016,08:20,500.0,500.0,0.0,,,,,A,YS-N24/50-4800122/2016,A,CASH,0.0,,,,,N24,50,A,,saheli,,
,,29.0,04/08/2016,08:25,500.0,500.0,0.0,,,,,A,YS-N24/50-4800018/2016,A,CASH,0.0,,,,,N24,50,A,,saheli,,
,,30.0,04/08/2016,08:25,500.0,500.0,0.0,,,,,A,YS-N24/50-4800123/2016,A,CASH,0.0,,,,,N24,50,A,,saheli,,
,,31.0,04/08/2016,10:04,500.0,500.0,0.0,,,,,A,YS-N24/50-3600192/2016,A,CASH,0.0,,,,,N24,50,A,,saheli,,
,,32.0,04/08/2016,10:05,500.0,500.0,,,,0.0,0.0,1,YS-N24/50-3600192/2016,I,CASH,0.0,,,,,N24,50,A,,saheli,,
,,33.0,04/08/2016,10:07,500.0,500.0,0.0,,,,,A,YS-N24/50-4800141/2016,A,CASH,0.0,,,,,N24,50,A,,saheli,,
,,34.0,04/08/2016,10:10,500.0,500.0,0.0,,,,,A,YS-N24/50-4800127/2016,A,CASH,0.0,,,,,N24,50,A,,saheli,,
,,35.0,04/08/2016,12:38,500.0,500.0,0.0,,,,,A,YS-N24/50-4800233/2016,A,CASH,0.0,,,,,N24,50,A,,PROMITA,,
,,36.0,04/08/2016,12:42,500.0,500.0,0.0,,,,,A,YS-N24/50-4800193/2016,A,CASH,0.0,,,,,N24,50,A,,PROMITA,,
Prs,,37.0,04/08/2016,12:51,15.0,,,15.0,,,,,,P,CASH,,,,,,N24,50,A,,PROMITA,,
,,38.0,04/08/2016,16:09,500.0,500.0,0.0,,,,,A,YS-N24/50-4800510/2016,A,CASH,0.0,,,,,N24,50,A,,PROMITA,,
,,39.0,04/08/2016,16:09,500.0,500.0,0.0,,,,,A,YS-N24/50-4800509/2016,A,CASH,0.0,,,,,N24,50,A,,PROMITA,,
,,40.0,04/08/2016,16:15,500.0,500.0,0.0,,,,,A,YS-N24/50-4800514/2016,A,CASH,0.0,,,,,N24,50,A,,PROMITA,,
,,41.0,04/08/2016,16:16,500.0,500.0,0.0,,,,,A,YS-N24/50-4800565/2016,A,CASH,0.0,,,,,N24,50,A,,PROMITA,,
,,42.0,04/08/2016,16:36,500.0,500.0,0.0,,,,,A,YS-N24/50-4800521/2016,A,CASH,0.0,,,,,N24,50,A,,PROMITA,,
Prs,,43.0,04/08/2016,17:12,15.0,,,15.0,,,,,,P,CASH,,,,,,N24,50,A,,PROMITA,,
