reg_no,batchcode,lateral,course_ap1,course_ap2,course_ap3,n_reg_no_1,course_ad1,batch_no_1,n_reg_no_2,course_ad2,batch_no_2,n_reg_no_3,course_ad3,batch_no_3,Session,ses_half,already_dip,Centre,USER
YS-N24/4-400001/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400002/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400003/2001,33,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400004/2001,33,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400005/2001,33,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400006/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400007/2001,33,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400008/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400009/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400010/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400011/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400012/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400013/2001,40,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400014/2001,40,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400015/2001,33,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400016/2001,33,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400017/2001,33,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400018/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400019/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400020/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400021/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400022/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400023/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400024/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400025/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400026/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400027/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400028/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400029/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400030/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400031/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400032/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400033/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400034/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400035/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400036/2001,33,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400037/2001,33,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400038/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400039/2001,33,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400040/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400041/2001,33,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400042/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400043/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400044/2001,33,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400045/2001,33,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400046/2001,32,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400047/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400048/2001,33,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400049/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400050/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400051/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400052/2001,33,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400053/2001,32,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400054/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400055/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400056/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400057/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400058/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400059/2001,33,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400060/2001,33,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400061/2001,33,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400062/2001,33,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400063/2001,33,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400064/2001,33,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400065/2001,32,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400066/2001,33,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400067/2001,32,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400068/2001,40,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400069/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400070/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400071/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400072/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400073/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400074/2001,32,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400075/2001,32,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400076/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400077/2001,32,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400078/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400079/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400080/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400081/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400082/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400083/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400084/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400085/2001,33,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400086/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400087/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400088/2001,33,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400089/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400090/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400091/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400092/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400093/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400094/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400095/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400096/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400097/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400098/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400099/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400100/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400101/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400102/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400103/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400104/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400105/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400106/2001,32,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400107/2001,32,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400108/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400109/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400110/2001,32,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400111/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400112/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400113/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400114/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400115/2001,32,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400116/2001,35,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
YS-N24/4-400117/2001,33,,,,,,,,,,,,,,4,A,N,N24,UNKNOWN
