reg_no,admission,admn_recpt,inst_1_due,inst_1_dt,i_1_recpt,inst_2_due,inst_2_dt,i_2_recpt,inst_3_due,inst_3_dt,i_3_recpt,inst_4_due,inst_4_dt,i_4_recpt,inst_5_due,inst_5_dt,i_5_recpt,inst_6_due,inst_6_dt,i_6_recpt,inst_7_due,inst_7_dt,i_7_recpt,inst_8_due,inst_8_dt,i_8_recpt,session,ses_half,Centre_Id,sem_payabl,sem_paypart,USER
YS-N24/15-1500001/2006,07/06/2006,1.0,10/07/2006,14/07/2006,1240.0,10/08/2006,09/08/2006,2213.0,10/09/2006,13/09/2006,3664.0,10/10/2006,08/10/2006,3785.0,10/11/2006,06/11/2006,5044.0,,,0.0,,,0.0,,,0.0,15,A,N24,2400.0,0.0,UNKNOWN
YS-N24/15-1500002/2006,07/06/2006,2.0,10/07/2006,10/07/2006,443.0,10/08/2006,23/08/2006,2634.0,10/09/2006,27/09/2006,3766.0,10/10/2006,13/10/2006,4542.0,10/11/2006,06/11/2006,5048.0,,,0.0,,,0.0,,,0.0,15,A,N24,2400.0,0.0,UNKNOWN
YS-N24/15-1500003/2006,07/06/2006,3.0,10/07/2006,07/07/2006,397.0,10/08/2006,23/08/2006,2640.0,10/09/2006,06/09/2006,3045.0,10/10/2006,30/10/2006,4789.0,10/11/2006,03/11/2006,4899.0,,,0.0,,,0.0,,,0.0,15,A,N24,2400.0,0.0,UNKNOWN
YS-N24/15-1500004/2006,07/06/2006,4.0,10/07/2006,11/07/2006,1077.0,10/08/2006,09/08/2006,2211.0,10/09/2006,09/09/2006,3474.0,10/10/2006,10/10/2006,3916.0,10/11/2006,08/11/2006,5287.0,,,0.0,,,0.0,,,0.0,15,A,N24,2400.0,0.0,UNKNOWN
YS-N24/15-1500005/2006,07/06/2006,5.0,10/07/2006,03/07/2006,344.0,10/08/2006,04/08/2006,1645.0,10/09/2006,04/09/2006,2772.0,10/10/2006,11/10/2006,4287.0,10/11/2006,03/11/2006,4860.0,,,0.0,,,0.0,,,0.0,15,A,N24,2400.0,0.0,UNKNOWN
YS-N24/15-1500006/2006,07/06/2006,6.0,10/07/2006,17/07/2006,1368.0,10/08/2006,31/08/2006,2667.0,10/09/2006,13/10/2006,4545.0,10/10/2006,13/10/2006,4545.0,10/11/2006,10/11/2006,5552.0,,,0.0,,,0.0,,,0.0,15,A,N24,2400.0,0.0,UNKNOWN
YS-N24/15-1500007/2006,07/06/2006,7.0,10/07/2006,12/07/2006,1172.0,10/08/2006,02/08/2006,1563.0,10/09/2006,06/09/2006,3023.0,10/10/2006,11/10/2006,4406.0,10/11/2006,06/11/2006,5109.0,,,0.0,,,0.0,,,0.0,15,A,N24,2400.0,0.0,UNKNOWN
YS-N24/15-1500008/2006,07/06/2006,8.0,10/07/2006,11/07/2006,1130.0,10/08/2006,,0.0,10/09/2006,,0.0,10/10/2006,,0.0,10/11/2006,,0.0,,,0.0,,,0.0,,,0.0,15,A,N24,2400.0,0.0,UNKNOWN
YS-N24/15-1500009/2006,07/06/2006,9.0,10/07/2006,07/07/2006,409.0,10/08/2006,07/08/2006,1958.0,10/09/2006,08/09/2006,3296.0,10/10/2006,11/10/2006,4404.0,10/11/2006,06/11/2006,5106.0,,,0.0,,,0.0,,,0.0,15,A,N24,2400.0,0.0,UNKNOWN
YS-N24/15-1500010/2006,07/06/2006,10.0,10/07/2006,05/07/2006,367.0,10/08/2006,02/08/2006,1562.0,10/09/2006,01/09/2006,2689.0,10/10/2006,18/10/2006,4706.0,10/11/2006,01/11/2006,4804.0,,,0.0,,,0.0,,,0.0,15,A,N24,2400.0,0.0,UNKNOWN
YS-N24/15-1500011/2006,07/06/2006,11.0,10/07/2006,11/07/2006,1134.0,10/08/2006,09/08/2006,2324.0,10/09/2006,11/09/2006,3637.0,10/10/2006,13/10/2006,4578.0,10/11/2006,06/11/2006,5141.0,,,0.0,,,0.0,,,0.0,15,A,N24,2400.0,0.0,UNKNOWN
YS-N24/15-1500012/2006,07/06/2006,12.0,10/07/2006,26/07/2006,1517.0,10/08/2006,04/08/2006,1692.0,10/09/2006,04/09/2006,2828.0,10/10/2006,11/10/2006,4405.0,10/11/2006,10/11/2006,5647.0,,,0.0,,,0.0,,,0.0,15,A,N24,2400.0,0.0,UNKNOWN
YS-N24/15-1500013/2006,07/06/2006,13.0,10/07/2006,14/07/2006,1264.0,10/08/2006,09/08/2006,2299.0,10/09/2006,06/09/2006,3021.0,10/10/2006,16/10/2006,4651.0,10/11/2006,06/11/2006,5112.0,,,0.0,,,0.0,,,0.0,15,A,N24,2400.0,0.0,UNKNOWN
YS-N24/15-1500014/2006,07/06/2006,14.0,10/07/2006,05/07/2006,370.0,10/08/2006,10/08/2006,2471.0,10/09/2006,05/09/2006,2862.0,10/10/2006,13/10/2006,4563.0,10/11/2006,06/11/2006,5108.0,,,0.0,,,0.0,,,0.0,15,A,N24,2400.0,0.0,UNKNOWN
YS-N24/15-1500015/2006,07/06/2006,15.0,10/07/2006,24/07/2006,1505.0,10/08/2006,08/08/2006,2160.0,10/09/2006,04/09/2006,2837.0,10/10/2006,11/10/2006,4428.0,10/11/2006,08/11/2006,5359.0,,,0.0,,,0.0,,,0.0,15,A,N24,2400.0,0.0,UNKNOWN
YS-N24/15-1500016/2006,07/06/2006,16.0,10/07/2006,05/07/2006,371.0,10/08/2006,07/08/2006,1979.0,10/09/2006,06/09/2006,3044.0,10/10/2006,11/10/2006,4429.0,10/11/2006,08/11/2006,5358.0,,,0.0,,,0.0,,,0.0,15,A,N24,2400.0,0.0,UNKNOWN
YS-N24/15-1500017/2006,07/06/2006,17.0,10/07/2006,14/07/2006,1274.0,10/08/2006,09/08/2006,2330.0,10/09/2006,06/09/2006,3040.0,10/10/2006,11/10/2006,4430.0,10/11/2006,01/11/2006,4809.0,,,0.0,,,0.0,,,0.0,15,A,N24,2400.0,0.0,UNKNOWN
YS-N24/15-1500018/2006,07/06/2006,18.0,10/07/2006,14/07/2006,1280.0,10/08/2006,09/08/2006,2270.0,10/09/2006,08/09/2006,3217.0,10/10/2006,11/10/2006,4371.0,10/11/2006,10/11/2006,5607.0,,,0.0,,,0.0,,,0.0,15,A,N24,2400.0,0.0,UNKNOWN
YS-N24/15-1500019/2006,07/06/2006,19.0,10/07/2006,16/07/2006,1333.0,10/08/2006,10/08/2006,2464.0,10/09/2006,08/09/2006,3306.0,10/10/2006,13/10/2006,4575.0,10/11/2006,10/11/2006,5662.0,,,0.0,,,0.0,,,0.0,15,A,N24,2400.0,0.0,UNKNOWN
YS-N24/15-1500020/2006,07/06/2006,20.0,10/07/2006,12/07/2006,1177.0,10/08/2006,09/08/2006,2332.0,10/09/2006,06/09/2006,3046.0,10/10/2006,08/10/2006,3811.0,10/11/2006,06/11/2006,5116.0,,,0.0,,,0.0,,,0.0,15,A,N24,2400.0,0.0,UNKNOWN
YS-N24/15-1500021/2006,07/06/2006,21.0,10/07/2006,14/07/2006,1279.0,10/08/2006,09/08/2006,2351.0,10/09/2006,08/09/2006,3308.0,10/10/2006,11/10/2006,4426.0,10/11/2006,06/11/2006,5119.0,,,0.0,,,0.0,,,0.0,15,A,N24,2400.0,0.0,UNKNOWN
YS-N24/15-1500022/2006,07/06/2006,22.0,10/07/2006,17/07/2006,1402.0,10/08/2006,09/08/2006,2331.0,10/09/2006,08/09/2006,3307.0,10/10/2006,16/10/2006,4659.0,10/11/2006,06/11/2006,5115.0,,,0.0,,,0.0,,,0.0,15,A,N24,2400.0,0.0,UNKNOWN
YS-N24/15-1500023/2006,07/06/2006,23.0,10/07/2006,16/07/2006,1339.0,10/08/2006,02/08/2006,1567.0,10/09/2006,08/09/2006,3312.0,10/10/2006,11/10/2006,4424.0,10/11/2006,01/11/2006,4807.0,,,0.0,,,0.0,,,0.0,15,A,N24,2400.0,0.0,UNKNOWN
YS-N24/15-1500024/2006,07/06/2006,24.0,10/07/2006,16/07/2006,1340.0,10/08/2006,02/08/2006,1568.0,10/09/2006,08/09/2006,3311.0,10/10/2006,11/10/2006,4425.0,10/11/2006,01/11/2006,4808.0,,,0.0,,,0.0,,,0.0,15,A,N24,2400.0,0.0,UNKNOWN
YS-N24/15-1500025/2006,07/06/2006,25.0,10/07/2006,14/07/2006,1281.0,10/08/2006,07/08/2006,1981.0,10/09/2006,08/09/2006,3310.0,10/10/2006,10/10/2006,4198.0,10/11/2006,08/11/2006,5369.0,,,0.0,,,0.0,,,0.0,15,A,N24,2400.0,0.0,UNKNOWN
YS-N24/15-1500026/2006,07/06/2006,26.0,10/07/2006,12/07/2006,1183.0,10/08/2006,07/08/2006,1980.0,10/09/2006,06/09/2006,3043.0,10/10/2006,11/10/2006,4431.0,10/11/2006,06/11/2006,5118.0,,,0.0,,,0.0,,,0.0,15,A,N24,2400.0,0.0,UNKNOWN
YS-N24/15-1500027/2006,07/06/2006,27.0,10/07/2006,14/07/2006,1273.0,10/08/2006,17/08/2006,2600.0,10/09/2006,08/09/2006,3309.0,10/10/2006,11/10/2006,4422.0,10/11/2006,13/11/2006,5747.0,,,0.0,,,0.0,,,0.0,15,A,N24,2400.0,0.0,UNKNOWN
YS-N24/15-1500028/2006,08/06/2006,28.0,10/07/2006,13/07/2006,1200.0,10/08/2006,01/08/2006,1540.0,10/09/2006,29/08/2006,2659.0,10/10/2006,09/09/2006,3367.0,10/11/2006,09/09/2006,3367.0,,,0.0,,,0.0,,,0.0,15,A,N24,2400.0,0.0,UNKNOWN
YS-N24/15-1500029/2006,08/06/2006,29.0,10/07/2006,15/07/2006,1310.0,10/08/2006,10/08/2006,2494.0,10/09/2006,09/09/2006,3368.0,10/10/2006,28/10/2006,4773.0,10/11/2006,09/11/2006,5491.0,,,0.0,,,0.0,,,0.0,15,A,N24,2400.0,0.0,UNKNOWN
