recpnopre,cnt_prefix,receiptno,recptdate,recpttime,amount,coursefees,admnfees,prospectus,batchchang,fine_amt,fine_days,instalment,reg_no,recpt_type,pay_mode,dd_no,dd_dt,draw_bank,remarks,lateral,centre_Id,session,ses_half,FrontLine,USER,Deleted,DD_NO_2
Prs,,1.0,02/02/2015,13:43,15.0,,,15.0,,,,,,P,CASH,,,,,,N24,44,A,,PROMITA,,
Prs,,2.0,02/02/2015,17:51,15.0,,,15.0,,,,,,P,CASH,,,,,,N24,44,A,,PROMITA,,
Prs,,3.0,02/02/2015,18:53,15.0,,,15.0,,,,,,P,CASH,,,,,,N24,44,A,,PROMITA,,
Prs,,4.0,03/02/2015,17:11,15.0,,,15.0,,,,,,P,CASH,,,,,,N24,44,A,,PROMITA,,
,,5.0,04/02/2015,08:08,500.0,500.0,0.0,,,,,A,YS-N24/44-4200165/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,6.0,04/02/2015,08:12,500.0,500.0,0.0,,,,,A,YS-N24/44-4200008/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,7.0,04/02/2015,08:16,500.0,500.0,0.0,,,,,A,YS-N24/44-4200096/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,8.0,04/02/2015,08:22,500.0,500.0,0.0,,,,,A,YS-N24/44-4200061/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,9.0,04/02/2015,09:03,500.0,500.0,0.0,,,,,A,YS-N24/44-4200002/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,10.0,04/02/2015,09:28,500.0,500.0,0.0,,,,,A,YS-N24/44-4200074/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,11.0,04/02/2015,09:28,500.0,500.0,0.0,,,,,A,YS-N24/44-4200075/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,12.0,04/02/2015,09:54,500.0,500.0,0.0,,,,,A,YS-N24/44-4200103/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,13.0,04/02/2015,10:00,500.0,500.0,0.0,,,,,A,YS-N24/44-4000193/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,14.0,04/02/2015,10:14,500.0,500.0,0.0,,,,,A,YS-N24/44-4200034/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,15.0,04/02/2015,10:15,500.0,500.0,0.0,,,,,A,YS-N24/44-4200124/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,16.0,04/02/2015,10:16,500.0,500.0,0.0,,,,,A,YS-N24/44-4200109/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,17.0,04/02/2015,10:16,500.0,500.0,0.0,,,,,A,YS-N24/44-4200108/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,18.0,04/02/2015,10:19,500.0,500.0,0.0,,,,,A,YS-N24/44-4200064/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,19.0,04/02/2015,10:20,500.0,500.0,0.0,,,,,A,YS-N24/44-4200024/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,20.0,04/02/2015,10:22,500.0,500.0,0.0,,,,,A,YS-N24/44-4200047/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,21.0,04/02/2015,10:23,500.0,500.0,0.0,,,,,A,YS-N24/44-4200048/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,22.0,04/02/2015,10:25,500.0,500.0,0.0,,,,,A,YS-N24/44-4200035/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,23.0,04/02/2015,10:27,500.0,500.0,0.0,,,,,A,YS-N24/44-4200076/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,24.0,04/02/2015,10:29,500.0,500.0,0.0,,,,,A,YS-N24/44-4200079/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,25.0,04/02/2015,10:30,500.0,500.0,0.0,,,,,A,YS-N24/44-4200041/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,26.0,04/02/2015,10:31,500.0,500.0,0.0,,,,,A,YS-N24/44-4200082/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,27.0,04/02/2015,10:33,500.0,500.0,0.0,,,,,A,YS-N24/44-4200042/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,28.0,04/02/2015,10:34,500.0,500.0,0.0,,,,,A,YS-N24/44-4200032/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,29.0,04/02/2015,10:35,500.0,500.0,0.0,,,,,A,YS-N24/44-4200039/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,30.0,04/02/2015,11:19,500.0,500.0,0.0,,,,,A,YS-N24/44-4000388/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,31.0,04/02/2015,11:27,500.0,500.0,0.0,,,,,A,YS-N24/44-4200139/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,32.0,04/02/2015,11:33,500.0,500.0,0.0,,,,,A,YS-N24/44-4200118/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,33.0,04/02/2015,11:40,500.0,500.0,0.0,,,,,A,YS-N24/44-4200179/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
Prs,,34.0,04/02/2015,11:56,15.0,,,15.0,,,,,,P,CASH,,,,,,N24,44,A,,saheli,,
,,35.0,04/02/2015,12:00,500.0,500.0,0.0,,,,,A,YS-N24/44-4000168/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,36.0,04/02/2015,12:05,500.0,500.0,0.0,,,,,A,YS-N24/44-4000043/2015,A,CASH,0.0,,,,,N24,44,A,,PROMITA,,
,,37.0,04/02/2015,12:06,500.0,500.0,0.0,,,,,A,YS-N24/44-4000014/2015,A,CASH,0.0,,,,,N24,44,A,,PROMITA,,
,,38.0,04/02/2015,12:06,500.0,500.0,0.0,,,,,A,YS-N24/44-4200049/2015,A,CASH,0.0,,,,,N24,44,A,,PROMITA,,
,,39.0,04/02/2015,12:24,500.0,500.0,0.0,,,,,A,YS-N24/44-4200144/2015,A,CASH,0.0,,,,,N24,44,A,,PROMITA,,
,,40.0,04/02/2015,13:56,500.0,500.0,0.0,,,,,A,YS-N24/44-4000139/2015,A,CASH,0.0,,,,,N24,44,A,,PROMITA,,
,,41.0,04/02/2015,14:00,500.0,500.0,0.0,,,,,A,YS-N24/44-4200077/2015,A,CASH,0.0,,,,,N24,44,A,,PROMITA,,
,,42.0,04/02/2015,14:14,500.0,500.0,0.0,,,,,A,YS-N24/44-4200133/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,43.0,04/02/2015,14:17,500.0,500.0,0.0,,,,,A,YS-N24/44-4200004/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,44.0,04/02/2015,14:20,500.0,500.0,0.0,,,,,A,YS-N24/44-4200005/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,45.0,04/02/2015,14:22,500.0,500.0,0.0,,,,,A,YS-N24/44-4000261/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,46.0,04/02/2015,14:23,500.0,500.0,0.0,,,,,A,YS-N24/44-4000498/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,47.0,04/02/2015,14:25,2500.0,2500.0,,,,0.0,0.0,12345,YS-N24/44-4000498/2015,I,CASH,0.0,,,,,N24,44,A,,saheli,,
,,48.0,04/02/2015,16:36,500.0,500.0,0.0,,,,,A,YS-N24/44-4200046/2015,A,CASH,0.0,,,,,N24,44,A,,PROMITA,,
,,49.0,04/02/2015,17:27,500.0,500.0,0.0,,,,,A,YS-N24/44-4200090/2015,A,CASH,0.0,,,,,N24,44,A,,PROMITA,,
,,50.0,04/02/2015,17:42,500.0,500.0,0.0,,,,,A,YS-N24/44-4200066/2015,A,CASH,0.0,,,,,N24,44,A,,PROMITA,,
,,51.0,04/02/2015,17:42,500.0,500.0,0.0,,,,,A,YS-N24/44-4200067/2015,A,CASH,0.0,,,,,N24,44,A,,PROMITA,,
Prs,,52.0,04/02/2015,18:26,15.0,,,15.0,,,,,,P,CASH,,,,,,N24,44,A,,PROMITA,,
,,53.0,04/02/2015,18:44,600.0,500.0,100.0,,,,,A,YS-N24/44-4400001/2015,A,CASH,0.0,,,,,N24,44,A,,PROMITA,,
,,54.0,04/02/2015,18:47,500.0,500.0,0.0,,,,,A,YS-N24/44-4200136/2015,A,CASH,0.0,,,,,N24,44,A,,PROMITA,,
,,55.0,05/02/2015,09:57,500.0,500.0,0.0,,,,,A,YS-N24/44-4000115/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,56.0,05/02/2015,09:59,500.0,500.0,0.0,,,,,A,YS-N24/44-4000129/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,57.0,05/02/2015,10:01,500.0,500.0,0.0,,,,,A,YS-N24/44-4000511/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,58.0,05/02/2015,10:03,500.0,500.0,0.0,,,,,A,YS-N24/44-4000186/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
Prs,,59.0,05/02/2015,11:53,615.0,500.0,100.0,15.0,,,,A,YS-N24/44-4400002/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,60.0,05/02/2015,11:54,350.0,350.0,,,,0.0,0.0,1,YS-N24/44-4400002/2015,I,CASH,0.0,,,,,N24,44,A,,saheli,,
,,61.0,05/02/2015,13:30,600.0,500.0,100.0,,,,,A,YS-N24/44-4400003/2015,A,CASH,0.0,,,,,N24,44,A,,PROMITA,,
,,62.0,05/02/2015,15:24,500.0,500.0,0.0,,,,,A,YS-N24/44-4000496/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,63.0,05/02/2015,16:06,500.0,500.0,0.0,,,,,A,YS-N24/44-4200026/2015,A,CASH,0.0,,,,,N24,44,A,,PROMITA,,
,,64.0,05/02/2015,17:05,600.0,500.0,100.0,,,,,A,YS-N24/44-4400004/2015,A,CASH,0.0,,,,,N24,44,A,,PROMITA,,
,,65.0,05/02/2015,18:15,500.0,500.0,0.0,,,,,A,YS-N24/44-4200085/2015,A,CASH,0.0,,,,,N24,44,A,,PROMITA,,
,,66.0,05/02/2015,18:16,500.0,500.0,0.0,,,,,A,YS-N24/44-4200086/2015,A,CASH,0.0,,,,,N24,44,A,,PROMITA,,
Prs,,67.0,05/02/2015,19:27,15.0,,,15.0,,,,,,P,CASH,,,,,,N24,44,A,,PROMITA,,
Prs,,68.0,05/02/2015,19:29,15.0,,,15.0,,,,,,P,CASH,,,,,,N24,44,A,,PROMITA,,
,,69.0,06/02/2015,08:10,500.0,500.0,0.0,,,,,A,YS-N24/44-4000213/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,70.0,06/02/2015,08:10,500.0,500.0,0.0,,,,,A,YS-N24/44-4000217/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,71.0,06/02/2015,08:32,500.0,500.0,0.0,,,,,A,YS-N24/44-4000236/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,72.0,06/02/2015,09:51,500.0,500.0,0.0,,,,,A,YS-N24/44-4200159/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,73.0,06/02/2015,10:01,500.0,500.0,0.0,,,,,A,YS-N24/44-4200134/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,74.0,06/02/2015,10:11,500.0,500.0,0.0,,,,,A,YS-N24/44-4000102/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,75.0,06/02/2015,10:13,500.0,500.0,0.0,,,,,A,YS-N24/44-4200003/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,76.0,06/02/2015,10:17,500.0,500.0,0.0,,,,,A,YS-N24/44-4200098/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,77.0,06/02/2015,10:18,500.0,500.0,0.0,,,,,A,YS-N24/44-4200006/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,78.0,06/02/2015,10:20,500.0,500.0,0.0,,,,,A,YS-N24/44-4200193/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,79.0,06/02/2015,10:23,500.0,500.0,0.0,,,,,A,YS-N24/44-4200116/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,80.0,06/02/2015,10:24,500.0,500.0,0.0,,,,,A,YS-N24/44-4200192/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,81.0,06/02/2015,10:53,500.0,500.0,0.0,,,,,A,YS-N24/44-4200158/2015,A,CASH,0.0,,,,,N24,44,A,,saheli,,
,,82.0,06/02/2015,12:05,500.0,500.0,0.0,,,,,A,YS-N24/44-4200081/2015,A,CASH,0.0,,,,,N24,44,A,,PROMITA,,
,,83.0,06/02/2015,12:10,500.0,500.0,0.0,,,,,A,YS-N24/44-4200169/2015,A,CASH,0.0,,,,,N24,44,A,,PROMITA,,
,,84.0,06/02/2015,12:11,500.0,500.0,0.0,,,,,A,YS-N24/44-4200168/2015,A,CASH,0.0,,,,,N24,44,A,,PROMITA,,
,,85.0,06/02/2015,12:15,500.0,500.0,0.0,,,,,A,YS-N24/44-4200146/2015,A,CASH,0.0,,,,,N24,44,A,,PROMITA,,
,,86.0,06/02/2015,12:16,500.0,500.0,0.0,,,,,A,YS-N24/44-4200167/2015,A,CASH,0.0,,,,,N24,44,A,,PROMITA,,
