reg_no,batchcode,lateral,course_ap1,course_ap2,course_ap3,n_reg_no_1,course_ad1,batch_no_1,n_reg_no_2,course_ad2,batch_no_2,n_reg_no_3,course_ad3,batch_no_3,Session,ses_half,already_dip,Centre,USER
YS-N24/65-6500043/2021,23,L,ADFAS,,,YS-N24/67-6500043/2021,ADFAS,33051,,,,,,,67,A,,N24,cic
YS-N24/65-6500134/2021,23,L,ADFAS,,,YS-N24/67-6500134/2021,ADFAS,33051,,,,,,,67,A,,N24,cic
YS-N24/65-6500141/2021,23,L,ADFAS,,,YS-N24/67-6500141/2021,ADFAS,33051,,,,,,,67,A,,N24,cic
YS-N24/65-6500133/2021,23,L,ADFAS,,,YS-N24/67-6500133/2021,ADFAS,33051,,,,,,,67,A,,N24,cic
YS-N24/65-6500015/2021,23,L,ADFAS,,,YS-N24/67-6500015/2021,ADFAS,33051,,,,,,,67,A,,N24,saheli
YS-N24/65-6500016/2021,23,L,ADFAS,,,YS-N24/67-6500016/2021,ADFAS,33051,,,,,,,67,A,,N24,saheli
YS-N24/65-6500081/2021,23,L,ADFAS,,,YS-N24/67-6500081/2021,ADFAS,33051,,,,,,,67,A,,N24,saheli
YS-N24/65-6500098/2021,25,L,ADITA,,,YS-N24/67-6500098/2021,ADITA,35051,,,,,,,67,A,,N24,saheli
YS-N24/65-6500130/2021,25,L,ADITA,,,YS-N24/67-6500130/2021,ADITA,35051,,,,,,,67,A,,N24,saheli
YS-N24/65-6500129/2021,25,L,ADITA,,,YS-N24/67-6500129/2021,ADITA,35051,,,,,,,67,A,,N24,saheli
YS-N24/65-6500059/2021,25,L,ADITA,,,YS-N24/67-6500059/2021,ADITA,35051,,,,,,,67,A,,N24,saheli
YS-N24/65-6500014/2021,25,L,ADITA,,,YS-N24/67-6500014/2021,ADITA,35051,,,,,,,67,A,,N24,saheli
YS-N24/65-6500011/2021,25,L,ADITA,,,YS-N24/67-6500011/2021,ADITA,35051,,,,,,,67,A,,N24,saheli
YS-N24/65-6500108/2021,25,L,ADITA,,,YS-N24/67-6500108/2021,ADITA,35051,,,,,,,67,A,,N24,saheli
YS-N24/65-6500008/2021,25,L,ADITA,,,YS-N24/67-6500008/2021,ADITA,35051,,,,,,,67,A,,N24,saheli
YS-N24/65-6500120/2021,23,L,ADFAS,,,YS-N24/67-6500120/2021,ADFAS,33051,,,,,,,67,A,,N24,saheli
YS-N24/65-6500006/2021,23,L,ADFAS,,,YS-N24/67-6500006/2021,ADFAS,33051,,,,,,,67,A,,N24,cic
YS-N24/65-6500013/2021,25,L,ADITA,,,YS-N24/67-6500013/2021,ADITA,35051,,,,,,,67,A,,N24,cic
YS-N24/65-6500009/2021,25,L,ADITA,,,YS-N24/67-6500009/2021,ADITA,35051,,,,,,,67,A,,N24,cic
YS-N24/65-6500045/2021,25,L,ADITA,,,YS-N24/67-6500045/2021,ADITA,35051,,,,,,,67,A,,N24,cic
YS-N24/65-6500007/2021,23,L,ADFAS,,,YS-N24/67-6500007/2021,ADFAS,33051,,,,,,,67,A,,N24,cic
YS-N24/65-6500030/2021,25,L,ADITA,,,YS-N24/67-6500030/2021,ADITA,35051,,,,,,,67,A,,N24,cic
YS-N24/65-6500001/2021,25,L,ADITA,,,YS-N24/67-6500001/2021,ADITA,35051,,,,,,,67,A,,N24,cic
YS-N24/65-6500109/2021,25,L,ADITA,,,YS-N24/67-6500109/2021,ADITA,35051,,,,,,,67,A,,N24,cic
YS-N24/65-6500115/2021,25,L,ADITA,,,YS-N24/67-6500115/2021,ADITA,35051,,,,,,,67,A,,N24,cic
YS-N24/65-6500132/2021,23,L,ADFAS,,,YS-N24/67-6500132/2021,ADFAS,33051,,,,,,,67,A,,N24,cic
YS-N24/65-6500086/2021,23,L,ADFAS,,,YS-N24/67-6500086/2021,ADFAS,33051,,,,,,,67,A,,N24,cic
YS-N24/65-6500010/2021,25,L,ADITA,,,YS-N24/67-6500010/2021,ADITA,35051,,,,,,,67,A,,N24,cic
YS-N24/65-6500044/2021,25,L,ADITA,,,YS-N24/67-6500044/2021,ADITA,35051,,,,,,,67,A,,N24,cic
